DATA IN NGS FORMAT FROM DATABASE 19JUN27XE_V006                                                 
2318+049  23 20    44.856598   5 13    49.952560                                                
0322+222   3 25    36.814352  22 24      .365590                                                
1636+473  16 37    45.130559  47 17    33.831110                                                
0834-201   8 36    39.215253 -20 16    59.504100                                                
1308+328  13 10    59.402729  32 33    34.449630                                                
1417+385  14 19    46.613761  38 21    48.475090                                                
0119+041   1 21    56.861699   4 22    24.734330                                                
0025+197   0 28    29.818482  20  0    26.743960                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
0115-214   1 17    48.780136 -21 11     6.633120                                                
1104-445  11  7     8.694127 -44 49     7.618460                                                
2059+034  21  1    38.834164   3 41    31.320960                                                
1846+322  18 48    22.088581  32 19     2.603740                                                
1639+230  16 41    25.227565  22 57     4.032760                                                
1520+319  15 22     9.991732  31 44    14.381950                                                
2000+148  20  2    41.999235  15  1    14.574030                                                
0729+259   7 32    56.275265  25 48    38.795560                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
0641+392   6 44    53.709599  39 14    47.533920                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
1040+244  10 43     9.035776  24  8    35.409440                                                
2250+194  22 53     7.369173  19 42    34.628750                                                
0008-264   0 11     1.246738 -26 12    33.377020                                                
0346-279   3 48    38.144577 -27 49    13.565550                                                
2356+385  23 59    33.180797  38 50    42.318290                                                
0524+034   5 27    32.705448   3 31    31.516640                                                
$END                                                                                            
  .8212990000000D+04           GR PH                                                            
$END                                                                                            
ISHIOKA   ZELENCHK  1741-038 2019 06 27 18 30  30.0000000000                 101                
   -6078481.78643923    .00378 -1737187.3987260120    .00772 0      I        102                
    .00252    .00000    .00000    .00000   -.913913329435993        0.       103                
  3.967   1.157  0.0186  0.0117 -0.0165 -0.0020     213845.595               104
    .00000    .00000    .00000    .00000    .00000    .00000                 105                
    24.200    19.800   987.300   884.400    98.000    75.500 0 0             106                
        -.4730242569    .00326         .0322716393    .00474  0              108                
KATH12M   YARRA12M  1741-038 2019 06 27 18 30  30.0000000000                 201                
   -3499863.22001931    .00995  -375564.4330395839    .01962 0      I        202                
    .00095    .00000    .00000    .00000  -5.026319213889922        0.       203                
  0.626   0.284  0.0003  0.0028  0.0001  0.0008      12573.188               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
    12.000    10.156   999.000   986.600    69.058   100.000 0 0             206                
         .1761724650    .00829         .0027670566    .01100  0              208                
ISHIOKA   YARRA12M  1741-038 2019 06 27 18 30  30.0000000000                 301                
   -8593860.37796349    .01231  -241108.9616120042    .02426 0      I        302                
    .00077    .00000    .00000    .00000  -2.540844231740771        0.       303                
  3.967   0.284  0.0186  0.0028 -0.0165  0.0008      15251.609               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
    24.200    10.156   987.300   986.600    98.000   100.000 0 0             306                
        3.7730671530    .00879         .0096719437    .01168  0              308                
YARRA12M  ZELENCHK  1741-038 2019 06 27 18 30  30.0000000000                 401                
    2515365.69199573    .00381 -1496078.7772520210    .00777 0      I        402                
    .00250    .00000    .00000    .00000   3.027284453281412        0.       403                
  0.284   1.157  0.0028  0.0117  0.0008 -0.0020     198593.986               404
    .00000    .00000    .00000    .00000    .00000    .00000                 405                
    10.156    19.800   986.600   884.400   100.000    75.500 0 0             406                
       -4.2302760481    .00651         .0234870887    .00945  0              408                
HART15M   YARRA12M  1741-038 2019 06 27 18 30  30.0000000000                 501                
    -367938.33884345    .00922  1903233.8343296380    .01881 0      I        502                
    .00104    .00000    .00000    .00000  -3.428178614286528        0.       503                
  0.332   0.284  0.0002  0.0028 -0.0005  0.0008      12040.851               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
     6.750    10.156   870.300   986.600    82.117   100.000 0 0             506                
        3.5704065974    .00599        -.0143423842    .00825  0              508                
ISHIOKA   KATH12M   1741-038 2019 06 27 18 30  30.0000000000                 601                
   -5093999.06161436    .01213   134455.6150622961    .02391 0      I        602                
    .00078    .00000    .00000    .00000  -2.297326912192797        0.       603                
  3.967   0.626  0.0186  0.0003 -0.0165  0.0001       2678.421               604
    .00000    .00000    .00000    .00000    .00000    .00000                 605                
    24.200    12.000   987.300   999.000    98.000    69.058 0 0             606                
        3.6080881458    .00847         .0157286534    .01127  0              608                
HART15M   ZELENCHK  1741-038 2019 06 27 18 30  30.0000000000                 701                
    2147427.92959185    .00241   407152.1790391216    .00491 0      I        702                
    .00400    .00000    .00000    .00000  -2.419410211303664        0.       703                
  0.332   1.157  0.0002  0.0117 -0.0005 -0.0020     210634.838               704
    .00000    .00000    .00000    .00000    .00000    .00000                 705                
     6.750    19.800   870.300   884.400    82.117    75.500 0 0             706                
        -.6788352992    .00274         .0224038370    .00399  0              708                
HART15M   KATH12M   1741-038 2019 06 27 18 30  30.0000000000                 801                
    3131926.07696315    .01056  2278799.0375500140    .02153 0      I        802                
    .00091    .00000    .00000    .00000   5.363887665230698        0.       803                
  0.332   0.626  0.0002  0.0003 -0.0005  0.0001       -532.337               804
    .00000    .00000    .00000    .00000    .00000    .00000                 805                
     6.750    12.000   870.300   999.000    82.117    69.058 0 0             806                
        3.3798130594    .00781         .0017434066    .01074  0              808                
HART15M   ISHIOKA   1741-038 2019 06 27 18 30  30.0000000000                 901                
    8225924.04159105    .00965  2144343.0560173900    .01968 0      I        902                
    .00100    .00000    .00000    .00000    .611684426549324        0.       903                
  0.332   3.967  0.0002  0.0186 -0.0005 -0.0165      -3210.758               904
    .00000    .00000    .00000    .00000    .00000    .00000                 905                
     6.750    24.200   870.300   987.300    82.117    98.000 0 0             906                
        -.2028099212    .00637        -.0056029040    .00877  0              908                
KATH12M   ZELENCHK  1741-038 2019 06 27 18 30  30.0000000000                1001                
    -984492.28574231    .00409 -1871642.6343716700    .00835 0      I       1002                
    .00233    .00000    .00000    .00000   -.743152372446494        0.      1003                
  0.626   1.157  0.0003  0.0117  0.0001 -0.0020     211167.174              1004
    .00000    .00000    .00000    .00000    .00000    .00000                1005                
    12.000    19.800   999.000   884.400    69.058    75.500 0 0            1006                
       -4.0726211992    .00657         .0347726736    .00954  0             1008                
KATH12M   WARK12M   0003-066 2019 06 27 18 32  33.0000000000                1101                
 -257415236.25911750    .01946  1019118.5888572000    .03385 0      I       1102                
    .00046    .00000    .00000    .00000   1.962266492808604        0.      1103                
  0.392   0.321  0.0002  0.0035 -0.0000 -0.0006 -256104627.238              1104
    .00000    .00000    .00000    .00000    .00000    .00000                1105                
    11.984    10.234   999.000  1026.300    69.016   100.000 0 0            1106                
        -.4134944628    .03342        -.0167087842    .03898  0             1108                
WARK12M   YARRA12M  0003-066 2019 06 27 18 32  33.0000000000                1201                
  262266852.22387700    .01231 -1216114.1181091600    .01693 0      I       1202                
    .00064    .00000    .00000    .00000   5.796439354745805        0.      1203                
  0.321   0.344  0.0035  0.0025 -0.0006 -0.0013  256117200.580              1204
    .00000    .00000    .00000    .00000    .00000    .00000                1205                
    10.234    10.100  1026.300   986.600   100.000    98.832 0 0            1206                
         .6267986819    .02587         .0266487039    .02385  0             1208                
KATH12M   YARRA12M  0003-066 2019 06 27 18 32  33.0000000000                1301                
    4851617.39069073    .01344  -196996.5911651956    .02409 0      I       1302                
    .00067    .00000    .00000    .00000   3.470325535382013        0.      1303                
  0.392   0.344  0.0002  0.0025 -0.0000 -0.0013      12573.342              1304
    .00000    .00000    .00000    .00000    .00000    .00000                1305                
    11.984    10.100   999.000   986.600    69.016    98.832 0 0            1306                
         .1869569499    .00984         .0053419271    .01190  0             1308                
ISHIOKA   YARRA12M  0003-066 2019 06 27 18 32  33.0000000000                1401                
    1423144.10675519    .00960  -491553.5968785441    .00757 0      I       1402                
    .00062    .00000    .00000    .00000   2.705423326049924        0.      1403                
  1.698   0.344  0.0072  0.0025  0.0015 -0.0013      15251.702              1404
    .00000    .00000    .00000    .00000    .00000    .00000                1405                
    24.216    10.100   987.284   986.600    98.000    98.832 0 0            1406                
        3.8124727662    .00644         .0094531879    .00343  0             1408                
ISHIOKA   KATH12M   0003-066 2019 06 27 18 32  33.0000000000                1501                
   -3428473.89714831    .02385  -294557.2400293504    .04148 0      I       1502                
    .00037    .00000    .00000    .00000  -4.356081728665790        0.      1503                
  1.698   0.392  0.0072  0.0002  0.0015 -0.0000       2678.361              1504
    .00000    .00000    .00000    .00000    .00000    .00000                1505                
    24.216    11.984   987.284   999.000    98.000    69.016 0 0            1506                
        3.6167617312    .00723         .0234914646    .00875  0             1508                
ISHIOKA   WARK12M   0003-066 2019 06 27 18 32  33.0000000000                1601                
 -260843713.65812110    .01286   724561.0867783579    .01728 0      I       1602                
    .00060    .00000    .00000    .00000   -.384111352579114        0.      1603                
  1.698   0.321  0.0072  0.0035  0.0015 -0.0006 -256101948.877              1604
    .00000    .00000    .00000    .00000    .00000    .00000                1605                
    24.216    10.234   987.284  1026.300    98.000   100.000 0 0            1606                
        3.1965545896    .01744         .0009125012    .01573  0             1608                
HART15M   ZELENCHK  1538+149 2019 06 27 18 33  24.0000000000                1701                
   -2755605.78636769    .02258   323866.1359440194    .03928 0      I       1702                
    .00039    .00000    .00000    .00000  -3.153044246277134        0.      1703                
  0.295   0.752  0.0003  0.0038 -0.0001  0.0000     210634.817              1704
    .00000    .00000    .00000    .00000    .00000    .00000                1705                
     7.032    19.768   870.300   884.368    83.313    75.613 0 0            1706                
        -.7157463279    .02049        -.0098413606    .02542  0             1708                
KATH12M   WARK12M   0131-522 2019 06 27 18 36  36.0000000000                1801                
 -265292168.02230640    .03350   586727.5033252237    .02251 0      I       1802                
    .00016    .00000    .00000    .00000   -.441014183484455        0.      1803                
  0.606   0.287 -0.0029 -0.0016  0.0001  0.0007 -256104627.462              1804
    .00000    .00000    .00000    .00000    .00000    .00000                1805                
    11.900    10.053   999.000  1026.300    69.177   100.000 0 0            1806                
        -.4057202197    .01815         .0043250174    .00827  0             1808                
WARK12M   YARRA12M  0131-522 2019 06 27 18 36  36.0000000000                1901                
  265075197.22756730    .04177  -615167.1475980035    .02807 0      I       1902                
    .00013    .00000    .00000    .00000   1.554039584058064        0.      1903                
  0.287   0.390 -0.0016 -0.0089  0.0007 -0.0012  256117201.106              1904
    .00000    .00000    .00000    .00000    .00000    .00000                1905                
    10.053    10.078  1026.300   986.607   100.000   100.000 0 0            1906                
         .5907338470    .01713         .0004345499    .00788  0             1908                
KATH12M   YARRA12M  0131-522 2019 06 27 18 36  36.0000000000                2001                
    -216965.27514023    .02214   -28439.6140966634    .01393 0      I       2002                
    .00024    .00000    .00000    .00000  -1.704996609391461        0.      2003                
  0.606   0.390 -0.0029 -0.0089  0.0001 -0.0012      12573.644              2004
    .00000    .00000    .00000    .00000    .00000    .00000                2005                
    11.900    10.078   999.000   986.607    69.177   100.000 0 0            2006                
         .1200954962    .01142        -.0093597059    .00488  0             2008                
HART15M   ZELENCHK  1100+122 2019 06 27 18 39    .0000000000                2101                
     576726.01505867    .01485  -109077.9883630591    .00552 0      I       2102                
    .00027    .00000    .00000    .00000   3.551007598502618        0.      2103                
  0.538   1.752  0.0007  0.0031  0.0018  0.0082     210634.777              2104
    .00000    .00000    .00000    .00000    .00000    .00000                2105                
     7.260    19.532   870.330   884.200    83.358    76.574 0 0            2106                
        -.7495859507    .01889         .0194589674    .00500  0             2108                
KATH12M   WARK12M   0308-611 2019 06 27 18 40  16.0000000000                2201                
 -267529552.13532910    .02220   351411.7655821674    .01563 0      I       2202                
    .00025    .00000    .00000    .00000  -5.845968292066880        0.      2203                
  1.046   0.325 -0.0108 -0.0035  0.0004  0.0017 -256104627.664              2204
    .00000    .00000    .00000    .00000    .00000    .00000                2205                
    11.878     9.948   999.000  1026.300    69.409   100.000 0 0            2206                
        -.4779468967    .01488        -.0092411399    .00708  0             2208                
WARK12M   YARRA12M  0308-611 2019 06 27 18 40  16.0000000000                2301                
  265971747.35316920    .02893  -287761.0504285119    .02061 0      I       2302                
    .00020    .00000    .00000    .00000   2.690309087915397        0.      2303                
  0.325   0.587 -0.0035 -0.0239  0.0017 -0.0022  256117201.582              2304
    .00000    .00000    .00000    .00000    .00000    .00000                2305                
     9.948    10.022  1026.300   986.626   100.000   100.000 0 0            2306                
         .5676874332    .01387         .0027427364    .00673  0             2308                
KATH12M   YARRA12M  0308-611 2019 06 27 18 40  16.0000000000                2401                
   -1557801.53869634    .01796    63651.0813161772    .01194 0      I       2402                
    .00030    .00000    .00000    .00000  -6.057083995896296        0.      2403                
  1.046   0.587 -0.0108 -0.0239  0.0004 -0.0022      12573.918              2404
    .00000    .00000    .00000    .00000    .00000    .00000                2405                
    11.878    10.022   999.000   986.626    69.409   100.000 0 0            2406                
         .1240073219    .01084        -.0042235802    .00487  0             2408                
FORTLEZA  WARK12M   0454-234 2019 06 27 18 43  27.0000000000                2501                
 -265570701.20784530    .03024 -2436944.7925165390    .02794 0      I       2502                
    .00021    .00000    .00000    .00000  -3.707713855997278        0.      2503                
  6.292   0.479  0.0465 -0.0012 -0.0920  0.0101 -256101833.219              2504
   -.03053    .00000    .00000    .00000    .00000    .00000                2505                
    27.600    10.300  1009.700  1026.400    73.300   100.000 0 0            2506                
        2.3928706929    .02387         .0230463938    .01486  0             2508                
ISHIOKA   ZELENCHK  0454+844 2019 06 27 18 46  16.0000000000                2601                
    -866745.04812014    .05114   152677.5586966534    .02381 0      I       2602                
    .00009    .00000    .00000    .00000  -4.853068334439254        0.      2603                
  1.923   1.043 -0.0121 -0.0117  0.0003  0.0001     213845.513              2604
    .00000    .00000    .00000    .00000    .00000    .00000                2605                
    24.274    19.348   987.048   884.200    97.652    77.456 0 0            2606                
        -.4987924378    .01621         .0171634085    .00552  0             2608                
KATH12M   WARK12M   0530-727 2019 06 27 18 46  39.0000000000                2701                
 -267355805.31725440    .02663    61781.6537754820    .00937 0      I       2702                
    .00015    .00000    .00000    .00000  -2.564735716195981        0.      2703                
  2.559   0.422 -0.0643 -0.0086  0.0035  0.0026 -256104628.017              2704
    .00000    .00000    .00000    .00000    .00000    .00000                2705                
    11.780    10.321   999.000  1026.400    69.902   100.000 0 0            2706                
        -.4710818001    .03197        -.0074141191    .00756  0             2708                
KATH12M   YARRA12M  0530-727 2019 06 27 18 46  39.0000000000                2801                
   -3633300.56738259    .02387   100941.2872578431    .00840 0      I       2802                
    .00017    .00000    .00000    .00000  -4.677162283381776        0.      2803                
  2.559   0.701 -0.0643 -0.0459  0.0035 -0.0020      12574.394              2804
    .00000    .00000    .00000    .00000    .00000    .00000                2805                
    11.780     9.924   999.000   986.659    69.902   100.000 0 0            2806                
         .1026743659    .01513         .0001646713    .00360  0             2808                
HART15M   WARK12M   0530-727 2019 06 27 18 46  39.0000000000                2901                
 -265691595.24360140    .02957  -600410.8283868219    .01943 0      I       2902                
    .00018    .00000    .00000    .00000  -2.278797968908571        0.      2903                
  1.000   0.422 -0.0062 -0.0086  0.0016  0.0026 -256105160.856              2904
    .00000    .00000    .00000    .00000    .00000    .00000                2905                
     7.281    10.321   870.400  1026.400    82.299   100.000 0 0            2906                
        2.9956523457    .02706         .0042649263    .01196  0             2908                
HART15M   YARRA12M  0530-727 2019 06 27 18 46  39.0000000000                3001                
   -1969090.45365178    .02363  -561251.3647162311    .01553 0      I       3002                
    .00023    .00000    .00000    .00000   -.864137317344786        0.      3003                
  1.000   0.701 -0.0062 -0.0459  0.0016 -0.0020      12041.554              3004
    .00000    .00000    .00000    .00000    .00000    .00000                3005                
     7.281     9.924   870.400   986.659    82.299   100.000 0 0            3006                
        3.5967020071    .01287        -.0034951736    .00573  0             3008                
HART15M   KATH12M   0530-727 2019 06 27 18 46  39.0000000000                3101                
    1664209.89042931    .03277  -662192.2517249481    .02153 0      I       3102                
    .00017    .00000    .00000    .00000   1.586869036605743        0.      3103                
  1.000   2.559 -0.0062 -0.0643  0.0016  0.0035       -532.839              3104
    .00000    .00000    .00000    .00000    .00000    .00000                3105                
     7.281    11.780   870.400   999.000    82.299    69.902 0 0            3106                
        3.4991469264    .01688         .0037754897    .00753  0             3108                
FORTLEZA  HART15M   1057-797 2019 06 27 18 49  24.0000000000                3201                
   -5672571.21864577    .00910   232395.5512258885    .01857 0      I       3202                
    .00105    .00000    .00000    .00000  -3.004354636295830        0.      3203                
  3.569   0.407  0.0361 -0.0009  0.0005  0.0002       3327.279              3204
   -.02503    .00000    .00000    .00000    .00000    .00000                3205                
    27.600     7.086  1009.700   870.400    73.300    82.505 0 0            3206                
        -.2260146102    .00744        -.0123288272    .01022  0             3208                
ISHIOKA   ZELENCHK  3C418    2019 06 27 18 52  46.0000000000                3301                
    4526877.80373152    .00584 -1037177.9533511600    .01190 0      I       3302                
    .00163    .00000    .00000    .00000   3.397162641283138        0.      3303                
  1.225   0.932 -0.0019 -0.0049 -0.0004 -0.0015     213845.480              3304
    .00000    .00000    .00000    .00000    .00000    .00000                3305                
    24.200    19.200   986.900   884.185    97.784    77.931 0 0            3306                
        -.5014211846    .00717         .0170842287    .01041  0             3308                
KATH12M   YARRA12M  3C418    2019 06 27 18 52  46.0000000000                3401                
    4351827.54018537    .01508  -274305.8193777680    .02124 0      I       3402                
    .00053    .00000    .00000    .00000   6.022383006892563        0.      3403                
  0.892   1.274  0.0080  0.1595 -0.0004  0.0016      12574.850              3404
    .00000    .00000    .00000    .00000    .00000    .00000                3405                
    11.700     9.831   999.019   986.690    70.281   100.000 0 0            3406                
         .2102596692    .01576         .0115042782    .01491  0             3408                
ISHIOKA   YARRA12M  3C418    2019 06 27 18 52  46.0000000000                3501                
   15584953.50896903    .01581  -317666.6830606714    .03225 0      I       3502                
    .00060    .00000    .00000    .00000   2.352790171370897        0.      3503                
  1.225   1.274 -0.0019  0.1595 -0.0004  0.0016      15252.623              3504
    .00000    .00000    .00000    .00000    .00000    .00000                3505                
    24.200     9.831   986.900   986.690    97.784   100.000 0 0            3506                
        3.8536270715    .01138         .0214705402    .01566  0             3508                
YARRA12M  ZELENCHK  3C418    2019 06 27 18 52  46.0000000000                3601                
  -11058064.60676581    .00779  -719510.8299094655    .01588 0      I       3602                
    .00122    .00000    .00000    .00000  -4.359450361128631        0.      3603                
  1.274   0.932  0.1595 -0.0049  0.0016 -0.0015     198592.858              3604
    .00000    .00000    .00000    .00000    .00000    .00000                3605                
     9.831    19.200   986.690   884.185   100.000    77.931 0 0            3606                
       -4.3394628998    .01267        -.0345262717    .01839  0             3608                
ISHIOKA   KATH12M   3C418    2019 06 27 18 52  46.0000000000                3701                
   11233129.13109034    .03891   -43360.7839032344    .07935 0      I       3702                
    .00025    .00000    .00000    .00000   3.714926761493648        0.      3703                
  1.225   0.892 -0.0019  0.0080 -0.0004 -0.0004       2677.773              3704
    .00000    .00000    .00000    .00000    .00000    .00000                3705                
    24.200    11.700   986.900   999.019    97.784    70.281 0 0            3706                
        3.6545243500    .00949         .0083907489    .01374  0             3708                
KATH12M   ZELENCHK  3C418    2019 06 27 18 52  46.0000000000                3801                
   -6706240.14664888    .00570  -993816.7329609968    .01162 0      I       3802                
    .00167    .00000    .00000    .00000  -1.913716799820350        0.      3803                
  0.892   0.932  0.0080 -0.0049 -0.0004 -0.0015     211167.708              3804
    .00000    .00000    .00000    .00000    .00000    .00000                3805                
    11.700    19.200   999.019   884.185    70.281    77.931 0 0            3806                
       -4.1865526726    .01498         .0041641302    .02173  0             3808                
HART15M   WARK12M   1936-155 2019 06 27 18 52  57.0000000000                3901                
 -253770176.18067190    .07690  2434326.6612571030    .16844 0      I       3902                
    .00013    .00000    .00000    .00000   1.072556437412441        0.      3903                
  0.478   0.862 -0.0001 -0.0050 -0.0020 -0.0377 -256105161.400              3904
    .00000    .00000    .00000    .00000    .00000    .00000                3905                
     7.020    10.352   870.380  1026.400    81.961   100.000 0 0            3906                
        2.9852215383    .03165         .0145135892    .04744  0             3908                
HART15M   YARRA12M  1424-418 2019 06 27 18 55  14.0000000000                4001                
   15092729.25424373    .01687   821179.2258417127    .03440 0      I       4002                
    .00057    .00000    .00000    .00000   6.007708456654008        0.      4003                
  0.222   0.843 -0.0001 -0.0467  0.0001  0.0120      12041.927              4004
    .00000    .00000    .00000    .00000    .00000    .00000                4005                
     7.035     9.800   870.300   986.700    82.265   100.000 0 0            4006                
        3.6236615182    .00503        -.0196283331    .00716  0             4008                
ISHIOKA   ZELENCHK  0716+714 2019 06 27 18 55  54.0000000000                4101                
   -2273750.05652528    .00609   577112.2029687880    .01241 0      I       4102                
    .00157    .00000    .00000    .00000   -.214454841783184        0.      4103                
  2.838   1.279 -0.0284 -0.0185  0.0017  0.0012     213845.464              4104
    .00000    .00000    .00000    .00000    .00000    .00000                4105                
    24.200    19.200   986.900   884.100    97.687    78.100 0 0            4106                
        -.5240647625    .00678         .0216525783    .00985  0             4108                
FORTLEZA  ZELENCHK  0716+714 2019 06 27 18 55  54.0000000000                4201                
   -7478002.01416147    .01442  -105944.0517029810    .02940 0      I       4202                
    .00066    .00000    .00000    .00000  -3.246522532119461        0.      4203                
  5.891   1.279 -0.0948 -0.0185 -0.0196  0.0012     213961.845              4204
   -.02803    .00000    .00000    .00000    .00000    .00000                4205                
    27.600    19.200  1009.700   884.100    73.300    78.100 0 0            4206                
       -1.3113612875    .01448        -.0372447895    .02105  0             4208                
FORTLEZA  ISHIOKA   0716+714 2019 06 27 18 55  54.0000000000                4301                
   -5204248.95442458    .04791  -683055.9957677362    .04047 0      I       4302                
    .00013    .00000    .00000    .00000  -5.444441363986760        0.      4303                
  5.891   2.838 -0.0948 -0.0284 -0.0196  0.0017        116.381              4304
   -.02803    .00000    .00000    .00000    .00000    .00000                4305                
    27.600    24.200  1009.700   986.900    73.300    97.687 0 0            4306                
        -.7650060375    .01302        -.1194710787    .00773  0             4308                
KATH12M   WARK12M   0229+131 2019 06 27 18 56  26.0000000000                4401                
 -261779433.42838320    .03589   847945.0386088351    .01895 0      I       4402                
    .00014    .00000    .00000    .00000  -2.278904761668283        0.      4403                
  1.032   0.458  0.0041  0.0108  0.0027  0.0047 -256104628.557              4404
    .00000    .00000    .00000    .00000    .00000    .00000                4405                
    11.700    10.004   999.061  1026.400    70.239   100.000 0 0            4406                
        -.4334621119    .01291        -.0022624656    .00469  0             4408                
ISHIOKA   ZELENCHK  1418+546 2019 06 27 18 59  32.0000000000                4501                
  -15372599.13353345    .02298  -298120.0102820042    .04686 0      I       4502                
    .00042    .00000    .00000    .00000  -2.604015211745777        0.      4503                
  5.337   0.689 -0.0964 -0.0015 -0.0112  0.0004     213845.444              4504
    .00000    .00000    .00000    .00000    .00000    .00000                4505                
    24.200    19.172   986.900   884.100    97.573    78.214 0 0            4506                
        -.5799112380    .00902         .0279814157    .01331  0             4508                
FORTLEZA  HART15M   1418+546 2019 06 27 18 59  32.0000000000                4601                
    2898701.89884232    .10517   905933.1434072283    .08886 2      I       4602                
    .00006    .00000    .00000    .00000   4.088671326765952        0.      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
   -.02378    .00000    .00000    .00000    .00000    .00000                4605                
    27.600     6.513  1009.700   870.287    73.300    82.927 0 0            4606                
        1.1797497592    .02633        -.4976158727    .01575  0             4608                
HART15M   ZELENCHK  1418+546 2019 06 27 18 59  32.0000000000                4701                
  -16302354.81227028    .02208   112440.4577748859    .04502 0      I       4702                
    .00043    .00000    .00000    .00000   -.434701692752640        0.      4703                
  1.353   0.689  0.0092 -0.0015  0.0022  0.0004     210634.629              4704
    .00000    .00000    .00000    .00000    .00000    .00000                4705                
     6.513    19.172   870.287   884.100    82.927    78.214 0 0            4706                
        -.8377464152    .00854         .0179516248    .01262  0             4708                
FORTLEZA  ZELENCHK  1418+546 2019 06 27 18 59  32.0000000000                4801                
  -13403633.17333874    .04015  1018367.9825731850    .08189 0      I       4802                
    .00024    .00000    .00000    .00000  -3.603823142924960        0.      4803                
  2.859   0.689 -0.0195 -0.0015  0.0086  0.0004     213961.769              4804
   -.02378    .00000    .00000    .00000    .00000    .00000                4805                
    27.600    19.172  1009.700   884.100    73.300    78.214 0 0            4806                
