DATA IN NGS FORMAT FROM DATABASE 19JAN17XE_V002                                                 
1053+704  10 56  53.617499  70 11  45.915610                                                    
1057-797  10 58  43.309755 -81 56   5.840260                                                    
1104-445  11  7   8.694127 -45 10  52.381540                                                    
1123+264  11 25  53.711923  26 10  19.978680                                                    
1124-186  11 27   4.392450 -19  2  42.558340                                                    
1133-032  11 36  24.576933 - 4 29  30.503530                                                    
1219+044  12 22  22.549621   4 13  15.776180                                                    
1226+373  12 28  47.423677  37  6  12.095860                                                    
1243-072  12 46   4.232104 - 8 29  13.425450                                                    
1255-316  12 57  59.060822 -32  4  43.148270                                                    
1357+769  13 57  55.371531  76 43  21.051050                                                    
1406-076  14  8  56.481200 - 8  7  33.333580                                                    
1406-267  14  9  50.169789 -27  2  23.019860                                                    
1418+546  14 19  46.597402  54 23  14.787190                                                    
1424+240  14 27   0.391775  23 48   0.037380                                                    
1424-418  14 27  56.297565 -43 53  40.562400                                                    
1456+044  14 58  59.356212   4 16  13.820600                                                    
1504+377  15  6   9.529968  37 30  51.132500                                                    
1514+197  15 16  56.796163  19 32  12.992020                                                    
1519-294  15 22  25.486335 -30 23  34.769180                                                    
1546+027  15 49  29.436843   2 37   1.163420                                                    
1602-115  16  5  17.531655 -12 20  33.168930                                                    
1617+229  16 19  14.824611  22 47  47.851080                                                    
1623+578  16 24  24.807567  57 41  16.280930                                                    
1656-075  16 58  44.061986 - 8 20  42.305950                                                    
1657-261  17  0  53.154061 -27 49   8.274650                                                    
1725+123  17 28   7.051220  12 15  39.485540                                                    
1736+324  17 38  40.501824  32 24   9.025670                                                    
1758-651  18  3  23.496667 -66 52  23.238790                                                    
1759-396  18  2  42.680059 -40 19  52.091870                                                    
1800+440  18  1  32.314821  44  4  21.900320                                                    
1803+784  18  0  45.683916  78 28   4.018450                                                    
1823+568  18 24   7.068378  56 51   1.490840                                                    
1846+322  18 48  22.088581  32 19   2.603740                                                    
1908-201  19 11   9.652892 -21 53   4.891010                                                    
1909+161  19 11  58.257405  16 11  46.865320                                                    
1954-388  19 57  59.819275 -39 14  53.644240                                                    
2008-159  20 11  15.710933 -16 13  19.746330                                                    
2013+163  20 16  13.860035  16 32  34.113030                                                    
2052-474  20 56  16.359819 -48 45  12.372350                                                    
2059+034  21  1  38.834164   3 41  31.320960                                                    
2113+293  21 15  29.413456  29 33  38.366970                                                    
2126-158  21 29  12.175898 -16 21  18.958690                                                    
2142-758  21 47  12.730624 -76 23  46.775180                                                    
2144+092  21 47  10.162967   9 29  46.672310                                                    
2214+350  22 16  20.009902  35 18  14.180020                                                    
2243-123  22 46  18.231975 -13 53   8.722460                                                    
2255-282  22 58   5.962885 -28  1  38.743260                                                    
2309+454  23 11  47.408974  45 43  56.016490                                                    
2319+317  23 21  54.955991  32  4   7.622540                                                    
2335-027  23 37  57.339072 - 3 29   2.370710                                                    
3C166      6 45  24.099515  21 21  51.201460                                                    
3C418     20 38  37.034735  51 19  12.662590                                                    
NRAO512   16 40  29.632772  39 46  46.028500                                                    
OJ287      8 54  48.874927  20  6  30.640890                                                    
$END                                                                                            
8.2209900000e+03            GR PH                                                               
$END                                                                                            
HART15M   ISHIOKA   OJ287    2019 01 17 18 30  30.0000000000                 101                
  -14062337.93071399   0.01205  2015264.3065440967   0.11863 0      I        102                
   0.00183    .00000    .00000    .00000  -2.535788753043474       0.0       103                
  4.611   0.027  0.2957 -0.0007  0.1132 -0.0030     -12224.707               104
   0.00000   0.00000    .00000    .00000    .00000    .00000                 105                
    17.187     3.291   861.887   998.991    85.580    50.625 0 0             106                
       -0.4017185822   0.01585             0.00762   0.10022  0              108                
HART15M   MEDICINA  OJ287    2019 01 17 18 30  30.0000000000                 201                
   -3182431.94006619   0.00290   206412.4729031710   0.00590 0      I        202                
   0.00338    .00000    .00000    .00000  -5.007240327840595       0.0       203                
  4.611   1.139  0.2957  0.0079  0.1132 -0.0027     -17505.324               204
   0.00000   0.00000    .00000    .00000    .00000    .00000                 205                
    17.187     8.000   861.887  1008.991    85.580    77.535 0 0             206                
       -0.5884960021   0.00326            -0.04437   0.00347  0              208                
HART15M   NYALES20  OJ287    2019 01 17 18 30  30.0000000000                 301                
   -4987524.64885205   0.00375   966067.3052629553   0.00763 0      I        302                
   0.00256    .00000    .00000    .00000  -0.674394746264774       0.0       303                
  4.611   0.119  0.2957  0.0011  0.1132 -0.0147    -161065.575               304
   0.00000  -0.05859    .00000    .00000    .00000    .00000                 305                
    17.187   -15.795   861.887   995.400    85.580    60.285 0 0             306                
       -0.2623396747   0.00424            -0.00074   0.00546  0              308                
HART15M   YARRA12M  OJ287    2019 01 17 18 30  30.0000000000                 401                
  -10844973.93114900   0.00745  1595571.5658999120   0.01517 0      I        402                
   0.00129    .00000    .00000    .00000  -1.431590899245637       0.0       403                
  4.611   0.455  0.2957 -0.0069  0.1132  0.0011      -5240.057               404
   0.00000   0.00000    .00000    .00000    .00000    .00000                 405                
    17.187    14.622   861.887   982.000    85.580    87.378 0 0             406                
       -0.3635981736   0.00856            -0.03660   0.01104  0              408                
HART15M   ZELENCHK  OJ287    2019 01 17 18 30  30.0000000000                 501                
  -10035230.45528198   0.00271   353670.0805880106   0.00553 0      I        502                
   0.00353    .00000    .00000    .00000  -1.080643658694685       0.0       503                
  4.611   0.089  0.2957 -0.0006  0.1132 -0.0095     201697.766               504
   0.00000   0.00000    .00000    .00000    .00000    .00000                 505                
    17.187    -5.800   861.887   885.600    85.580    62.500 0 0             506                
       -0.9669858295   0.00385            -0.04721   0.00537  0              508                
ISHIOKA   MEDICINA  OJ287    2019 01 17 18 30  30.0000000000                 601                
   10879880.60024030   0.00626 -1808848.8757332899   0.06162 0      I        602                
   0.00363    .00000    .00000    .00000  -1.956136828085623       0.0       603                
  0.027   1.139 -0.0007  0.0079 -0.0030 -0.0027      -5280.616               604
   0.00000   0.00000    .00000    .00000    .00000    .00000                 605                
     3.291     8.000   998.991  1008.991    50.625    77.535 0 0             606                
       -0.2018431927   0.00980            -0.06925   0.05185  0              608                
ISHIOKA   NYALES20  OJ287    2019 01 17 18 30  30.0000000000                 701                
    9074798.57257331   0.00700 -1049195.8268948758   0.06897 0      I        702                
   0.00313    .00000    .00000    .00000   4.303100535623644       0.0       703                
  0.027   0.119 -0.0007  0.0011 -0.0030 -0.0147    -148840.868               704
   0.00000  -0.05859    .00000    .00000    .00000    .00000                 705                
     3.291   -15.795   998.991   995.400    50.625    60.285 0 0             706                
        0.1319263032   0.00877             0.00360   0.05518  0              708                
ISHIOKA   YARRA12M  OJ287    2019 01 17 18 30  30.0000000000                 801                
    3217358.11802595   0.01124  -419691.5238263889   0.09491 0      I        802                
   0.00187    .00000    .00000    .00000  -1.934625277538562       0.0       803                
  0.027   0.455 -0.0007 -0.0069 -0.0030  0.0011       6984.651               804
   0.00000   0.00000    .00000    .00000    .00000    .00000                 805                
     3.291    14.622   998.991   982.000    50.625    87.378 0 0             806                
        0.0575785643   0.01880             0.04496   0.10371  0              808                
ISHIOKA   ZELENCHK  OJ287    2019 01 17 18 30  30.0000000000                 901                
    4027084.16075871   0.00543 -1661591.1574435441   0.05345 0      I        902                
   0.00404    .00000    .00000    .00000   1.903651116164287       0.0       903                
  0.027   0.089 -0.0007 -0.0006 -0.0030 -0.0095     213922.473               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
     3.291    -5.800   998.991   885.600    50.625    62.500 0 0             906                
       -0.5712803859   0.01205            -0.09977   0.08328  0              908                
MEDICINA  NYALES20  OJ287    2019 01 17 18 30  30.0000000000                1001                
   -1805090.31568501   0.00139   759654.6466837962   0.00283 0      I       1002                
   0.00700    .00000    .00000    .00000  -3.362373235331215       0.0      1003                
  1.139   0.119  0.0079  0.0011 -0.0027 -0.0147    -143560.251              1004
   0.00000  -0.05859    .00000    .00000    .00000    .00000                1005                
     8.000   -15.795  1008.991   995.400    77.535    60.285 0 0            1006                
        0.3486565079   0.00277             0.04826   0.00307  0             1008                
MEDICINA  YARRA12M  OJ287    2019 01 17 18 30  30.0000000000                1101                
   -7662537.60068642   0.00465  1389159.0572026270   0.00948 0      I       1102                
   0.00209    .00000    .00000    .00000  -1.579166908417125       0.0      1103                
  1.139   0.455  0.0079 -0.0069 -0.0027  0.0011      12265.267              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
     8.000    14.622  1008.991   982.000    77.535    87.378 0 0            1106                
        0.2280589593   0.00607            -0.01258   0.00656  0             1108                
MEDICINA  ZELENCHK  OJ287    2019 01 17 18 30  30.0000000000                1201                
   -6852798.04984611   0.00091   147257.6886543280   0.00185 0      I       1202                
   0.01072    .00000    .00000    .00000  -3.384264153175558       0.0      1203                
  1.139   0.089  0.0079 -0.0006 -0.0027 -0.0095     219203.090              1204
   0.00000   0.00000    .00000    .00000    .00000    .00000                1205                
     8.000    -5.800  1008.991   885.600    77.535    62.500 0 0            1206                
       -0.3831990678   0.00214             0.01179   0.00279  0             1208                
NYALES20  YARRA12M  OJ287    2019 01 17 18 30  30.0000000000                1301                
   -5857446.23784869   0.00555   629504.0859396742   0.01130 0      I       1302                
   0.00172    .00000    .00000    .00000  -0.800798092137913       0.0      1303                
  0.119   0.455  0.0011 -0.0069 -0.0147  0.0011     155825.518              1304
  -0.05859   0.00000    .00000    .00000    .00000    .00000                1305                
   -15.795    14.622   995.400   982.000    60.285    87.378 0 0            1306                
       -0.1028726782   0.00657            -0.04464   0.00851  0             1308                
NYALES20  ZELENCHK  OJ287    2019 01 17 18 30  30.0000000000                1401                
   -5047708.75537800   0.00135  -612396.4223706009   0.00275 0      I       1402                
   0.00707    .00000    .00000    .00000  -2.366642071148726       0.0      1403                
  0.119   0.089  0.0011 -0.0006 -0.0147 -0.0095     362763.341              1404
  -0.05859   0.00000    .00000    .00000    .00000    .00000                1405                
   -15.795    -5.800   995.400   885.600    60.285    62.500 0 0            1406                
       -0.7245046469   0.00340            -0.04435   0.00488  0             1408                
YARRA12M  ZELENCHK  OJ287    2019 01 17 18 30  30.0000000000                1501                
     809730.01091612   0.00410 -1241900.0174279506   0.00835 0      I       1502                
   0.00233    .00000    .00000    .00000   2.257027425945501       0.0      1503                
  0.455   0.089 -0.0069 -0.0006  0.0011 -0.0095     206937.823              1504
   0.00000   0.00000    .00000    .00000    .00000    .00000                1505                
    14.622    -5.800   982.000   885.600    87.378    62.500 0 0            1506                
       -0.6050029843   0.00704             0.00828   0.00996  0             1508                
FORTLEZA  MEDICINA  0458-020 2019 01 17 18 33  51.0000000000                1601                
   -8601259.22389750   0.00518   987417.0317129137   0.01056 0      I       1602                
   0.00188    .00000    .00000    .00000  -2.451645912086311       0.0      1603                
  4.694   0.509  0.0011 -0.0045 -0.0383 -0.0003      -5686.676              1604
  -0.05563   0.00000    .00000    .00000    .00000    .00000                1605                
    29.300     7.992  1006.900  1008.900    75.030    77.866 0 0            1606                
       -1.0374565217   0.00864            -0.05350   0.01030  0             1608                
FORTLEZA  ZELENCHK  0458-020 2019 01 17 18 33  51.0000000000                1701                
  -10421816.98598642   0.00612  1543430.1508894423   0.01246 0      I       1702                
   0.00157    .00000    .00000    .00000  -3.822744571909398       0.0      1703                
  4.694   0.078  0.0011 -0.0031 -0.0383  0.0002     213516.439              1704
  -0.05563   0.00000    .00000    .00000    .00000    .00000                1705                
    29.300    -5.800  1006.900   885.600    75.030    62.500 0 0            1706                
       -1.4345743179   0.00974            -0.05952   0.01568  0             1708                
MEDICINA  ZELENCHK  0458-020 2019 01 17 18 33  51.0000000000                1801                
   -1820552.97752037   0.00144   556012.6627950193   0.00293 0      I       1802                
   0.00676    .00000    .00000    .00000   0.460939988049942       0.0      1803                
  0.509   0.078 -0.0045 -0.0031 -0.0003  0.0002     219203.115              1804
   0.00000   0.00000    .00000    .00000    .00000    .00000                1805                
     7.992    -5.800  1008.900   885.600    77.866    62.500 0 0            1806                
       -0.3955354848   0.00399            -0.00522   0.00523  0             1808                
ISHIOKA   NYALES20  NRAO512  2019 01 17 18 36   6.0000000000                1901                
    1062513.32335199   0.02105  1014920.8331302350   0.04288 0      I       1902                
   0.00045    .00000    .00000    .00000   1.535860313824965       0.0      1903                
  0.038   0.085  0.0037  0.0163  0.0073  0.0023    -148840.537              1904
   0.00000  -0.06054    .00000    .00000    .00000    .00000                1905                
     3.210   -16.090   998.921   995.400    45.352    62.213 0 0            1906                
        0.1472007136   0.01451            -0.04368   0.01650  0             1908                
MEDICINA  NYALES20  0656+082 2019 01 17 18 38  37.0000000000                2001                
    4991641.49449894   0.01455   671455.9041435756   0.02606 0      I       2002                
   0.00062    .00000    .00000    .00000  -1.020534115520779       0.0      2003                
  0.620   0.183 -0.0030 -0.0403 -0.0008 -0.0259    -143559.677              2004
   0.00000  -0.01521    .00000    .00000    .00000    .00000                2005                
     7.900   -16.176  1008.900   995.320    77.520    62.215 0 0            2006                
        0.3951771916   0.01148             0.03589   0.01001  0             2008                
MEDICINA  ZELENCHK  0656+082 2019 01 17 18 38  37.0000000000                2101                
   -5110868.93641844   0.01155   414910.6689884243   0.02354 0      I       2102                
   0.00083    .00000    .00000    .00000  -3.309707893194353       0.0      2103                
  0.620   0.083 -0.0030 -0.0020 -0.0008 -0.0035     219203.151              2104
   0.00000   0.00000    .00000    .00000    .00000    .00000                2105                
     7.900    -5.800  1008.900   885.600    77.520    62.500 0 0            2106                
       -0.4241998530   0.01348            -0.04077   0.01685  0             2108                
NYALES20  ZELENCHK  0656+082 2019 01 17 18 38  37.0000000000                2201                
  -10102509.09799340   0.02234  -256545.3108835553   0.04550 0      I       2202                
   0.00043    .00000    .00000    .00000  -3.446950704178279       0.0      2203                
  0.183   0.083 -0.0403 -0.0020 -0.0259 -0.0035     362762.828              2204
  -0.01521   0.00000    .00000    .00000    .00000    .00000                2205                
   -16.176    -5.800   995.320   885.600    62.215    62.500 0 0            2206                
       -0.7977711845   0.02268            -0.05029   0.03045  0             2208                
FORTLEZA  HART15M   2052-474 2019 01 17 18 39  55.0000000000                2301                
    9145847.47051438   0.02324   159517.6233668611   0.00880 1      I       2302                
   0.00018    .00000    .00000    .00000  -1.343313900170290       0.0      2303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2304
  -0.05638   0.00000    .00000    .00000    .00000    .00000                2305                
    29.100    17.085  1006.900   861.572    75.358    85.598 0 0            2306                
       -0.1417114376   0.01142            -0.00463   0.00196  0             2308                
MEDICINA  NYALES20  1030+415 2019 01 17 18 41  49.0000000000                2401                
   -6876198.81801542   0.00566   573698.5775380814   0.01154 0      I       2402                
   0.00172    .00000    .00000    .00000  -5.131113004887887       0.0      2403                
  1.077   0.089  0.0207  0.0050 -0.0019 -0.0037    -143559.451              2404
   0.00000  -0.01789    .00000    .00000    .00000    .00000                2405                
     7.893   -15.461  1008.893   995.300    77.707    61.035 0 0            2406                
        0.4048806593   0.00542             0.04255   0.00562  0             2408                
MEDICINA  YARRA12M  1030+415 2019 01 17 18 41  49.0000000000                2501                
   -1225033.84064984   0.09703   681874.3712238498   0.19769 2      I       2502                
   0.00010    .00000    .00000    .00000  -2.118027461274341       0.2      2503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2504
   0.00000   0.00000    .00000    .00000    .00000    .00000                2505                
     7.893    14.642  1008.893   982.000    77.707    87.179 0 0            2506                
        4.8451199451   0.04091             0.03584   0.02142  0             2508                
MEDICINA  ZELENCHK  1030+415 2019 01 17 18 41  49.0000000000                2601                
   -5566190.86444387   0.00398   -44806.4580388747   0.00810 0      I       2602                
   0.00244    .00000    .00000    .00000  -2.274838647315950       0.0      2603                
  1.077   0.107  0.0207  0.0026 -0.0019 -0.0102     219203.175              2604
   0.00000   0.00000    .00000    .00000    .00000    .00000                2605                
     7.893    -5.800  1008.893   885.600    77.707    62.500 0 0            2606                
       -0.3432018249   0.00619            -0.00631   0.00794  0             2608                
NYALES20  YARRA12M  1030+415 2019 01 17 18 41  49.0000000000                2701                
    5651225.96255331   0.03968   108176.7137712922   0.07814 0      I       2702                
   0.00024    .00000    .00000    .00000   1.829854922358191       0.1      2703                
  0.089   0.834  0.0050 -0.0305 -0.0037 -0.0011     155825.148              2704
  -0.01789   0.00000    .00000    .00000    .00000    .00000                2705                
   -15.461    14.642   995.300   982.000    61.035    87.179 0 0            2706                
       -0.1526707814   0.02403            -0.04714   0.02463  0             2708                
NYALES20  ZELENCHK  1030+415 2019 01 17 18 41  49.0000000000                2801                
    1310003.78912737   0.00580  -618504.5179105167   0.01142 0      I       2802                
   0.00164    .00000    .00000    .00000   1.362035789475493       0.0      2803                
  0.089   0.107  0.0050  0.0026 -0.0037 -0.0102     362762.626              2804
  -0.01789   0.00000    .00000    .00000    .00000    .00000                2805                
   -15.461    -5.800   995.300   885.600    61.035    62.500 0 0            2806                
       -0.7558417445   0.00801            -0.05937   0.01080  0             2808                
YARRA12M  ZELENCHK  1030+415 2019 01 17 18 41  49.0000000000                2901                
   -4341218.37682548   0.07412  -726681.0369817693   0.14597 0      I       2902                
   0.00013    .00000    .00000    .00000  -2.774748072385776       0.1      2903                
  0.834   0.107 -0.0305  0.0026 -0.0011 -0.0102     206937.478              2904
   0.00000   0.00000    .00000    .00000    .00000    .00000                2905                
    14.642    -5.800   982.000   885.600    87.179    62.500 0 0            2906                
       -0.5927879543   0.03312            -0.01025   0.02360  0             2908                
HART15M   YARRA12M  1057-797 2019 01 17 18 44   2.0000000000                3001                
   -4663462.70650302   0.00868   189206.3818808232   0.01350 0      I       3002                
   0.00097    .00000    .00000    .00000  -1.723354444575650       0.0      3003                
  1.292   0.456 -0.0492  0.0073  0.0014 -0.0001      -5239.929              3004
   0.00000   0.00000    .00000    .00000    .00000    .00000                3005                
    17.200    14.800   861.348   982.016    85.890    87.068 0 0            3006                
       -0.3575999346   0.01151            -0.02344   0.01151  0             3008                
FORTLEZA  ISHIOKA   3C418    2019 01 17 18 45  49.0000000000                3101                
    4673063.38941324   0.02809 -1329794.1326017075   0.05533 4      I       3102                
   0.00034    .00000    .00000    .00000   4.223709839315619       0.0      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
  -0.05038   0.00000    .00000    .00000    .00000    .00000                3105                
    28.818     3.388  1006.800   998.929    75.775    41.466 0 0            3106                
       -0.6651729494   0.04153             0.09499   0.05800  0             3108                
FORTLEZA  ZELENCHK  3C418    2019 01 17 18 45  49.0000000000                3201                
    2328026.46874654   0.01439  -206137.8433201955   0.02833 0      I       3202                
   0.00066    .00000    .00000    .00000   2.242883111079980       0.0      3203                
  2.718   0.260 -0.0150  0.0282  0.0050  0.0315     213516.213              3204
  -0.05038   0.00000    .00000    .00000    .00000    .00000                3205                
    28.818    -5.800  1006.800   885.600    75.775    62.500 0 0            3206                
       -1.2825514989   0.01333             0.04056   0.01943  0             3208                
ISHIOKA   MEDICINA  3C418    2019 01 17 18 45  49.0000000000                3301                
   -7222097.07475329   0.01050  1268805.6368458802   0.02481 0      I       3302                
   0.00100    .00000    .00000    .00000  -2.889558278559637       0.0      3303                
  0.073   0.649  0.1390  0.0073  0.0781  0.0006      -5280.793              3304
   0.00000   0.00000    .00000    .00000    .00000    .00000                3305                
     3.388     7.800   998.929  1008.800    41.466    77.820 0 0            3306                
       -0.2447187842   0.01087            -0.02988   0.01326  0             3308                
ISHIOKA   NYALES20  3C418    2019 01 17 18 45  49.0000000000                3401                
  -13244464.22504397   0.01244   771754.7471334826   0.02535 0      I       3402                
   0.00077    .00000    .00000    .00000  -0.950235051700121       0.0      3403                
  0.073   0.072  0.1390  0.0022  0.0781  0.0021    -148839.962              3404
   0.00000  -0.09604    .00000    .00000    .00000    .00000                3405                
     3.388   -14.684   998.929   995.400    41.466    60.999 0 0            3406                
        0.1231488190   0.00744            -0.03477   0.00781  0             3408                
ISHIOKA   ZELENCHK  3C418    2019 01 17 18 45  49.0000000000                3501                
   -2345042.23596469   0.01296  1123657.7378616310   0.02552 0      I       3502                
   0.00073    .00000    .00000    .00000  -5.586807031643563       0.0      3503                
  0.073   0.260  0.1390  0.0282  0.0781  0.0315     213922.412              3504
   0.00000   0.00000    .00000    .00000    .00000    .00000                3505                
     3.388    -5.800   998.929   885.600    41.466    62.500 0 0            3506                
       -0.6495254373   0.01170            -0.03278   0.01485  0             3508                
MEDICINA  NYALES20  3C418    2019 01 17 18 45  49.0000000000                3601                
   -6022370.69544629   0.00296  -497050.0668370221   0.00700 0      I       3602                
   0.00355    .00000    .00000    .00000  -2.579378308501454       0.0      3603                
  0.649   0.072  0.0073  0.0022  0.0006  0.0021    -143559.168              3604
   0.00000  -0.09604    .00000    .00000    .00000    .00000                3605                
     7.800   -14.684  1008.800   995.400    77.820    60.999 0 0            3606                
        0.3888715558   0.00403            -0.00326   0.00507  0             3608                
MEDICINA  ZELENCHK  3C418    2019 01 17 18 45  49.0000000000                3701                
    4877053.76864760   0.00250  -145147.7478465169   0.00591 0      I       3702                
   0.00420    .00000    .00000    .00000   0.280207323701345       0.0      3703                
  0.649   0.260  0.0073  0.0282  0.0006  0.0315     219203.205              3704
   0.00000   0.00000    .00000    .00000    .00000    .00000                3705                
     7.800    -5.800  1008.800   885.600    77.820    62.500 0 0            3706                
       -0.4030725951   0.00331             0.00352   0.00486  0             3708                
NYALES20  ZELENCHK  3C418    2019 01 17 18 45  49.0000000000                3801                
   10899426.52396428   0.00516   351902.3037430787   0.01052 0      I       3802                
   0.00185    .00000    .00000    .00000   2.983750557890214       0.0      3803                
  0.072   0.260  0.0022  0.0282  0.0021  0.0315     362762.373              3804
  -0.09604   0.00000    .00000    .00000    .00000    .00000                3805                
   -14.684    -5.800   995.400   885.600    60.999    62.500 0 0            3806                
       -0.7708448342   0.00490             0.00957   0.00650  0             3808                
ISHIOKA   YARRA12M  1124-186 2019 01 17 18 47  55.0000000000                3901                
   -8060322.97208928   0.01808  -538062.0836128115   0.01943 0      I       3902                
   0.00038    .00000    .00000    .00000  -0.343033357766159       0.0      3903                
  0.012   0.304 -0.0070 -0.0006 -0.0010 -0.0005       6985.111              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
     3.550    14.754   998.975   982.100    40.800    86.900 0 0            3906                
       -0.0931227884   0.01787             0.02116   0.01188  0             3908                
ISHIOKA   YARRA12M  1104-445 2019 01 17 18 51  13.0000000000                4001                
  -17102321.64239528   0.01373  -397515.0267877054   0.00854 1      I       4002                
   0.00038    .00000    .00000    .00000  -2.444999460953800       0.0      4003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4004
   0.00000   0.00000    .00000    .00000    .00000    .00000                4005                
     3.421    14.591   998.900   982.100    40.332    86.926 0 0            4006                
       -0.1167634422   0.01267            -0.01821   0.00481  0             4008                
FORTLEZA  HART15M   0300+470 2019 01 17 18 53  24.0000000000                4101                
    3971005.54443689   0.02250  1083943.5354052228   0.04584 0      I       4102                
   0.00043    .00000    .00000    .00000   1.894893444077616       0.0      4103                
  2.199   2.137 -0.0089  0.1355 -0.0028 -0.0047      11818.786              4104
  -0.05638   0.00000    .00000    .00000    .00000    .00000                4105                
    29.180    17.232  1006.800   860.628    77.340    84.211 0 0            4106                
       -0.1756798154   0.01493            -0.03165   0.01817  0             4108                
FORTLEZA  MEDICINA  0300+470 2019 01 17 18 53  24.0000000000                4201                
  -11940551.41987065   0.00715   808018.9119713495   0.01457 0      I       4202                
   0.00137    .00000    .00000    .00000  -2.135934423285979       0.0      4203                
  2.199   0.288 -0.0089  0.0001 -0.0028  0.0000      -5687.192              4204
  -0.05638   0.00000    .00000    .00000    .00000    .00000                4205                
    29.180     7.700  1006.800  1008.700    77.340    78.111 0 0            4206                
       -0.8124682692   0.00798            -0.00929   0.00919  0             4208                
FORTLEZA  NYALES20  0300+470 2019 01 17 18 53  24.0000000000                4301                
   -8988709.14497646   0.01095   754572.3250225625   0.02231 0      I       4302                
   0.00088    .00000    .00000    .00000  -5.420933641044631       0.0      4303                
  2.199   0.071 -0.0089 -0.0034 -0.0028  0.0002    -149245.824              4304
  -0.05638   0.01294    .00000    .00000    .00000    .00000                4305                
    29.180   -14.245  1006.800   995.400    77.340    59.849 0 0            4306                
       -0.4290634752   0.01008            -0.01408   0.01370  0             4308                
FORTLEZA  ZELENCHK  0300+470 2019 01 17 18 53  24.0000000000                4401                
   -9812280.79467425   0.00951  1176246.8345602034   0.01937 0      I       4402                
   0.00101    .00000    .00000    .00000   2.129611013593695       0.0      4403                
  2.199   0.083 -0.0089  0.0004 -0.0028  0.0020     213516.070              4404
  -0.05638   0.00000    .00000    .00000    .00000    .00000                4405                
    29.180    -5.924  1006.800   885.618    77.340    63.122 0 0            4406                
       -1.1898229552   0.01102            -0.03000   0.01725  0             4408                
HART15M   MEDICINA  0300+470 2019 01 17 18 53  24.0000000000                4501                
  -15911555.88042457   0.00624  -275924.3144374192   0.01272 0      I       4502                
   0.00156    .00000    .00000    .00000  -3.902617566690836       0.0      4503                
