DATA IN NGS FORMAT FROM DATABASE 19JUL15XA_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
  1.687   3.474  0.0034  0.0628  0.0051  0.0054      -4924.651            170204
   0.00000   0.00329    .00000    .00000    .00000    .00000              170205                
    19.672    14.620  1002.929   945.600    16.614    87.480 0 0          170206                
        0.9052336806   0.01802        0.0260900671   0.01850  0           170208                
NYALES20  SESHAN25  0642+449 2019 07 15 23 54   9.0000000000              170301                
   -4071662.87492672   0.02777  -629105.1770165045   0.08184 0      I     170302                
   0.00042    .00000    .00000    .00000  -0.358193768456085       0.0    170303                
  0.491   1.600  0.0004 -0.0039  0.0009  0.0002     191361.512            170304
   0.07439   0.00000    .00000    .00000    .00000    .00000              170305                
     7.484    27.300  1012.424  1007.943    75.895    87.314 0 0          170306                
        0.4795533003   0.01336        0.0343906297   0.01591  0           170308                
NYALES20  WETTZELL  0642+449 2019 07 15 23 54   9.0000000000              170401                
    9955546.79782583   0.00761  -202233.8445151665   0.01773 0      I     170402                
   0.00135    .00000    .00000    .00000   2.564279516701250       0.0    170403                
  0.491   3.474  0.0004  0.0628  0.0009  0.0054     168534.863            170404
   0.07439   0.00329    .00000    .00000    .00000    .00000              170405                
     7.484    14.620  1012.424   945.600    75.895    87.480 0 0          170406                
        0.9537352049   0.00597        0.0610342056   0.00812  0           170408                
SEJONG    NYALES20  0642+449 2019 07 15 23 54   9.0000000000              170501                
    5701748.69175801   0.02896   519864.0845270896   0.06744 0      I     170502                
   0.00037    .00000    .00000    .00000   0.447274709285500       0.1    170503                
  1.006   0.491  0.0006  0.0004 -0.0015  0.0009    -138661.907            170504
   0.00000   0.07439    .00000    .00000    .00000    .00000              170505                
    23.024     7.484   992.100  1012.424    88.772    75.895 0 0          170506                
        0.1442249227   0.03391       -0.0120667761   0.01675  0           170508                
SEJONG    SESHAN25  0642+449 2019 07 15 23 54   9.0000000000              170601                
    1630082.15121388   0.00873  -109241.0606624170   0.02522 0      I     170602                
   0.00137    .00000    .00000    .00000   5.540856317563118       0.0    170603                
  1.006   1.600  0.0006 -0.0039 -0.0015  0.0002      52699.605            170604
   0.00000   0.00000    .00000    .00000    .00000    .00000              170605                
    23.024    27.300   992.100  1007.943    88.772    87.314 0 0          170606                
        0.5966490549   0.04505       -0.0273645901   0.02793  0           170608                
SEJONG    WETTZELL  0642+449 2019 07 15 23 54   9.0000000000              170701                
   15657294.29353525   0.01785   317629.8499874023   0.04090 0      I     170702                
   0.00060    .00000    .00000    .00000   4.855831630386319       0.0    170703                
  1.006   3.474  0.0006  0.0628 -0.0015  0.0054      29872.956            170704
   0.00000   0.00329    .00000    .00000    .00000    .00000              170705                
    23.024    14.620   992.100   945.600    88.772    87.480 0 0          170706                
        1.0370753744   0.04177        0.0624034765   0.02050  0           170708                
SESHAN25  WETTZELL  0642+449 2019 07 15 23 54   9.0000000000              170801                
   14027211.49008554   0.01391   426871.1348107353   0.04099 0      I     170802                
   0.00083    .00000    .00000    .00000   2.235649166610998       0.0    170803                
  1.600   3.474 -0.0039  0.0628  0.0002  0.0054     -22826.649            170804
   0.00000   0.00329    .00000    .00000    .00000    .00000              170805                
    27.300    14.620  1007.943   945.600    87.314    87.480 0 0          170806                
        0.4761647911   0.01046       -0.0119551791   0.01776  0           170808                
MATERA    NYALES20  0800+618 2019 07 15 23 56   4.0000000000              170901                
  -12005524.00416344   0.03787    66619.3507098736   0.02087 0      I     170902                
   0.00013    .00000    .00000    .00000  -1.871493312843525       0.1    170903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            170904
   0.06342   0.00954    .00000    .00000    .00000    .00000              170905                
    17.910     7.479   953.590  1012.400    93.619    73.407 0 0          170906                
       -0.3760536309   0.01867       -0.0119057531   0.00371  0           170908                
MATERA    SESHAN25  0800+618 2019 07 15 23 56   4.0000000000              171001                
   -8300304.34257960   0.05222  -511352.5825780370   0.02856 0      I     171002                
   0.00009    .00000    .00000    .00000  -0.025535611921305       0.1    171003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            171004
   0.06342   0.00000    .00000    .00000    .00000    .00000              171005                
    17.910    27.300   953.590  1008.087    93.619    86.975 0 0          171006                
        0.0666895709   0.03248        0.0085528814   0.00784  0           171008                
MATERA    WETTZELL  0800+618 2019 07 15 23 56   4.0000000000              171101                
   -2960744.94692105   0.02030    42121.6712335815   0.00993 0      I     171102                
   0.00023    .00000    .00000    .00000  -2.190573700422807       0.0    171103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            171104
   0.06342  -0.00118    .00000    .00000    .00000    .00000              171105                
    17.910    14.700   953.590   945.587    93.619    87.387 0 0          171106                
        0.5479569392   0.01190       -0.0028370157   0.00248  0           171108                
NYALES20  SESHAN25  0800+618 2019 07 15 23 56   4.0000000000              171201                
    3705212.93786873   0.01526  -577971.6065760760   0.00841 0      I     171202                
   0.00033    .00000    .00000    .00000   0.496514493891220       0.0    171203                
  0.365   2.011  0.0001 -0.0113  0.0000  0.0003     191361.478            171204
   0.00954   0.00000    .00000    .00000    .00000    .00000              171205                
     7.479    27.300  1012.400  1008.087    73.407    86.975 0 0          171206                
        0.5183610106   0.01030        0.0078848614   0.00313  0           171208                
NYALES20  WETTZELL  0800+618 2019 07 15 23 56   4.0000000000              171301                
    9044778.85287234   0.01275   -24497.9766448869   0.00702 0      I     171302                
   0.00039    .00000    .00000    .00000   3.469421125875822       0.0    171303                
  0.365   1.079  0.0001  0.0060  0.0000  0.0001     168534.736            171304
   0.00954  -0.00118    .00000    .00000    .00000    .00000              171305                
     7.479    14.700  1012.400   945.587    73.407    87.387 0 0          171306                
        0.9422052007   0.00749        0.0024099047   0.00210  0           171308                
SESHAN25  WETTZELL  0800+618 2019 07 15 23 56   4.0000000000              171401                
    5339563.95491428   0.01237   553474.1261794303   0.00677 0      I     171402                
   0.00040    .00000    .00000    .00000   3.219564683985133       0.0    171403                
  2.011   1.079 -0.0113  0.0060  0.0003  0.0001     -22826.742            171404
   0.00000  -0.00118    .00000    .00000    .00000    .00000              171405                
    27.300    14.700  1008.087   945.587    86.975    87.387 0 0          171406                
        0.4156380166   0.01326       -0.0078005053   0.00454  0           171408                
ISHIOKA   YARRA12M  0537-441 2019 07 15 23 56  15.0000000000              171501                
  -14438913.03544804   0.01787  -397917.8649753681   0.02000 0      I     171502                
   0.00040    .00000    .00000    .00000  -2.068288400543258       0.0    171503                
  6.289   0.175  0.1307  0.0006  0.0144 -0.0005      16458.145            171504
   0.00000   0.00000    .00000    .00000    .00000    .00000              171505                
    20.149     9.500  1000.800   995.800    99.484    65.166 0 0          171506                
       -0.5746416778   0.01686       -0.0464458709   0.01155  0           171508                
FORTLEZA  HART15M   1954-388 2019 07 15 23 57   1.0000000000              171601                
   -7246958.10704466   0.01305  1245555.0903238067   0.01077 0      I     171602                
   0.00047    .00000    .00000    .00000  -5.599895403136866       0.0    171603                
  1.697   0.103 -0.0030 -0.0005 -0.0009  0.0002       3043.388            171604
   0.00796   0.00000    .00000    .00000    .00000    .00000              171605                
    26.600     4.282  1010.200   871.800    86.898    57.118 0 0          171606                
        0.0733183644   0.02533        0.0046812496   0.01372  0           171608                
KATH12M   YARRA12M  0308-611 2019 07 16 00 00  17.0000000000              171701                
   -3898629.66448309   0.00999  -212264.5502432449   0.00396 0      I     171702                
   0.00042    .00000    .00000    .00000  -1.802979765375711       0.0    171703                
  0.927   0.174 -0.0008  0.0009 -0.0005  0.0000      14454.196            171704
   0.00000   0.00000    .00000    .00000    .00000    .00000              171705                
    19.974     9.584  1002.893   995.828    16.345    64.877 0 0          171706                
       -0.0540069819   0.00861       -0.0124738849   0.00205  0           171708                
FORTLEZA  HART15M   3C418    2019 07 16 00 01   9.0000000000              171801                
    2107899.68482513   0.02081   962326.1628187974   0.06009 0      I     171802                
   0.00055    .00000    .00000    .00000   1.058530566636403       0.0    171803                
  3.206   0.464  0.0138  0.0416 -0.0033  0.0016       3043.337            171804
   0.01546   0.00000    .00000    .00000    .00000    .00000              171805                
    26.600     3.927  1010.200   871.800    87.330    57.582 0 0          171806                
        0.0335985023   0.01485       -0.0193183507   0.02422  0           171808                
FORTLEZA  ISHIOKA   3C418    2019 07 16 00 01   9.0000000000              171901                
    2862392.02834547   0.01497  1431954.6204689806   0.01162 0      I     171902                
   0.00039    .00000    .00000    .00000   4.089109949397488       0.0    171903                
  3.206   5.557  0.0138 -0.0892 -0.0033 -0.0388       -217.729            171904
   0.01546   0.00000    .00000    .00000    .00000    .00000              171905                
    26.600    20.400  1010.200  1000.789    87.330    99.400 0 0          171906                
        0.0605244697   0.02363       -0.0358386039   0.01192  0           171908                
FORTLEZA  MATERA    3C418    2019 07 16 00 01   9.0000000000              172001                
  -14272703.59887635   0.01450   794775.1250871053   0.01528 0      I     172002                
   0.00048    .00000    .00000    .00000  -5.215774363309287       0.0    172003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            172004
   0.01546   0.05292    .00000    .00000    .00000    .00000              172005                
    26.600    18.000  1010.200   953.500    87.330    94.127 0 0          172006                
        0.3808393813   0.01108       -0.0149076423   0.00562  0           172008                
FORTLEZA  NYALES20  3C418    2019 07 16 00 01   9.0000000000              172101                
  -12387440.81180472   0.00759   772072.7042085778   0.00725 0      I     172102                
   0.00087    .00000    .00000    .00000  -3.892711406384068       0.0    172103                
  3.206   0.322  0.0138 -0.0000 -0.0033  0.0001    -171672.505            172104
   0.01546   0.01201    .00000    .00000    .00000    .00000              172105                
    26.600     7.393  1010.200  1012.500    87.330    76.406 0 0          172106                
       -0.0011838894   0.00793       -0.0352344528   0.00472  0           172108                
FORTLEZA  SEJONG    3C418    2019 07 16 00 01   9.0000000000              172201                
     606511.25427793   0.01263  1511047.1146028729   0.01098 4      I     172202                
   0.00052    .00000    .00000    .00000   2.225756588425790       0.0    172203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            172204
   0.01546   0.00000    .00000    .00000    .00000    .00000              172205                
    26.600    23.490  1010.200   992.100    87.330    86.221 0 0          172206                
       -0.9896854555   0.12952       -8.6192921180   0.02420  0           172208                
FORTLEZA  SESHAN25  3C418    2019 07 16 00 01   9.0000000000              172301                
    1064598.80298479   0.01139  1586050.9358396113   0.01509 0      I     172302                
   0.00068    .00000    .00000    .00000   3.808876693165028       0.0    172303                
  3.206   4.622  0.0138 -0.0689 -0.0033 -0.0018      19688.884            172304
   0.01546   0.00000    .00000    .00000    .00000    .00000              172305                
    26.600    27.300  1010.200  1008.010    87.330    86.810 0 0          172306                
        0.6410578428   0.03339       -0.0261212378   0.02937  0           172308                
FORTLEZA  WETTZELL  3C418    2019 07 16 00 01   9.0000000000              172401                
  -14614091.21639490   0.00424   751126.3465490419   0.00340 0      I     172402                
   0.00141    .00000    .00000    .00000  -4.654097710445035       0.0    172403                
  3.206   0.384  0.0138  0.0000 -0.0033  0.0000      -3138.106            172404
   0.01546   0.00671    .00000    .00000    .00000    .00000              172405                
    26.600    14.690  1010.200   945.500    87.330    87.259 0 0          172406                
        0.9343610266   0.00559       -0.0254141401   0.00287  0           172408                
HART15M   ISHIOKA   3C418    2019 07 16 00 01   9.0000000000              172501                
     754491.26717267   0.02046   469628.8332450564   0.05907 0      I     172502                
   0.00056    .00000    .00000    .00000   2.527377425056567       0.0    172503                
  0.464   5.557  0.0416 -0.0892  0.0016 -0.0388      -3261.067            172504
   0.00000   0.00000    .00000    .00000    .00000    .00000              172505                
     3.927    20.400   871.800  1000.789    57.582    99.400 0 0          172506                
        0.0264696634   0.01858        0.0459933833   0.03259  0           172508                
HART15M   MATERA    3C418    2019 07 16 00 01   9.0000000000              172601                
  -16380602.99825907   0.02689  -167550.6586951464   0.07765 0      I     172602                
   0.00042    .00000    .00000    .00000  -0.289156210754284       0.0    172603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            172604
   0.00000   0.05292    .00000    .00000    .00000    .00000              172605                
     3.927    18.000   871.800   953.500    57.582    94.127 0 0          172606                
        0.3525439496   0.01450        0.0098717399   0.01669  0           172608                
HART15M   NYALES20  3C418    2019 07 16 00 01   9.0000000000              172701                
  -14495340.13500096   0.00952  -190252.8840682960   0.02749 0      I     172702                
   0.00120    .00000    .00000    .00000  -3.302720024810094       0.0    172703                
  0.464   0.322  0.0416 -0.0000  0.0016  0.0001    -174715.842            172704
   0.00000   0.01201    .00000    .00000    .00000    .00000              172705                
     3.927     7.393   871.800  1012.500    57.582    76.406 0 0          172706                
       -0.0404235564   0.00971       -0.0241211033   0.01739  0           172708                
HART15M   SEJONG    3C418    2019 07 16 00 01   9.0000000000              172801                
   -1501389.65702878   0.02214   548720.8356552836   0.06395 4      I     172802                
   0.00054    .00000    .00000    .00000  -1.645549527538712       0.0    172803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            172804
   0.00000   0.00000    .00000    .00000    .00000    .00000              172805                
     3.927    23.490   871.800   992.100    57.582    86.221 0 0          172806                
       -0.0809865811   0.11544       -0.0503222719   0.07158  0           172808                
HART15M   SESHAN25  3C418    2019 07 16 00 01   9.0000000000              172901                
   -1043302.30616842   0.01508   623724.4095238113   0.04354 0      I     172902                
   0.00076    .00000    .00000    .00000  -1.726811094512518       0.0    172903                
  0.464   4.622  0.0416 -0.0689  0.0016 -0.0018      16645.546            172904
   0.00000   0.00000    .00000    .00000    .00000    .00000              172905                
     3.927    27.300   871.800  1008.010    57.582    86.810 0 0          172906                
        0.6002404494   0.01485        0.0062037847   0.02646  0           172908                
HART15M   WETTZELL  3C418    2019 07 16 00 01   9.0000000000              173001                
  -16721990.52805118   0.00856  -211199.2596770307   0.02473 0      I     173002                
   0.00133    .00000    .00000    .00000  -1.361554689424570       0.0    173003                
  0.464   0.384  0.0416  0.0000  0.0016  0.0000      -6181.443            173004
   0.00000   0.00671    .00000    .00000    .00000    .00000              173005                
     3.927    14.690   871.800   945.500    57.582    87.259 0 0          173006                
        0.9009725339   0.00644        0.0060917709   0.01071  0           173008                
ISHIOKA   MATERA    3C418    2019 07 16 00 01   9.0000000000              173101                
  -17135093.80199281   0.00990  -637178.7868391852   0.01043 0      I     173102                
   0.00069    .00000    .00000    .00000  -3.190955409658848       0.0    173103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            173104
   0.00000   0.05292    .00000    .00000    .00000    .00000              173105                
    20.400    18.000  1000.789   953.500    99.400    94.127 0 0          173106                
        0.2893421392   0.01074        0.0185709346   0.00587  0           173108                
ISHIOKA   NYALES20  3C418    2019 07 16 00 01   9.0000000000              173201                
  -15249830.88849638   0.01281  -659881.0489558561   0.01225 0      I     173202                
   0.00051    .00000    .00000    .00000   1.092215426526215       0.0    173203                
  5.557   0.322 -0.0892 -0.0000 -0.0388  0.0001    -171454.776            173204
   0.00000   0.01201    .00000    .00000    .00000    .00000              173205                
    20.400     7.393  1000.789  1012.500    99.400    76.406 0 0          173206                
       -0.0724631092   0.00642        0.0085554546   0.00265  0           173208                
ISHIOKA   SEJONG    3C418    2019 07 16 00 01   9.0000000000              173301                
   -2255880.99150388   0.00598    79092.3741449303   0.00520 0      I     173302                
   0.00110    .00000    .00000    .00000  -1.162209624981087       0.0    173303                
  5.557   3.011 -0.0892  0.0172 -0.0388  0.0151     -32793.354            173304
   0.00000   0.00000    .00000    .00000    .00000    .00000              173305                
    20.400    23.490  1000.789   992.100    99.400    86.221 0 0          173306                
       -0.0929813606   0.01914        0.0360856583   0.00357  0           173308                
ISHIOKA   SESHAN25  3C418    2019 07 16 00 01   9.0000000000              173401                
   -1797793.62659987   0.00499   154095.9793279186   0.00661 0      I     173402                
   0.00154    .00000    .00000    .00000  -4.537263235526606       0.0    173403                
  5.557   4.622 -0.0892 -0.0689 -0.0388 -0.0018      19906.613            173404
   0.00000   0.00000    .00000    .00000    .00000    .00000              173405                
    20.400    27.300  1000.789  1008.010    99.400    86.810 0 0          173406                
        0.5688007092   0.00456        0.0208633647   0.00367  0           173408                
ISHIOKA   WETTZELL  3C418    2019 07 16 00 01   9.0000000000              173501                
  -17476481.31812443   0.00336  -680827.5055094267   0.00269 0      I     173502                
   0.00178    .00000    .00000    .00000  -2.243981132397420       0.0    173503                
  5.557   0.384 -0.0892  0.0000 -0.0388  0.0000      -2920.377            173504
   0.00000   0.00671    .00000    .00000    .00000    .00000              173505                
    20.400    14.690  1000.789   945.500    99.400    87.259 0 0          173506                
        0.8733082485   0.00484        0.0220655262   0.00251  0           173508                
MATERA    NYALES20  3C418    2019 07 16 00 01   9.0000000000              173601                
    1885262.40794289   0.01623   -22702.9520626482   0.01711 0      I     173602                
   0.00042    .00000    .00000    .00000   2.740812475879332       0.0    173603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            173604
   0.05292   0.01201    .00000    .00000    .00000    .00000              173605                
    18.000     7.393   953.500  1012.500    94.127    76.406 0 0          173606                
       -0.3799426415   0.00806       -0.0165154017   0.00309  0           173608                
MATERA    SESHAN25  3C418    2019 07 16 00 01   9.0000000000              173701                
   15337313.71315608   0.00602   791274.0141140621   0.00798 0      I     173702                
   0.00128    .00000    .00000    .00000   0.841841998488915       0.0    173703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            173704
   0.05292   0.00000    .00000    .00000    .00000    .00000              173705                
    18.000    27.300   953.500  1008.010    94.127    86.810 0 0          173706                
        0.2140124909   0.01098        0.0096308726   0.00786  0           173708                
MATERA    WETTZELL  3C418    2019 07 16 00 01   9.0000000000              173801                
    -341388.26659222   0.00303   -43648.8269203044   0.00319 0      I     173802                
   0.00227    .00000    .00000    .00000   0.085789215465428       0.0    173803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            173804
   0.05292   0.00671    .00000    .00000    .00000    .00000              173805                
    18.000    14.690   953.500   945.500    94.127    87.259 0 0          173806                
        0.5545925039   0.00393       -0.0032505596   0.00219  0           173808                
NYALES20  SESHAN25  3C418    2019 07 16 00 01   9.0000000000              173901                
   13452049.48795998   0.00697   813977.2186317525   0.00924 0      I     173902                
   0.00110    .00000    .00000    .00000   0.117907620646813       0.0    173903                
  0.322   4.622 -0.0000 -0.0689  0.0001 -0.0018     191361.389            173904
   0.01201   0.00000    .00000    .00000    .00000    .00000              173905                
     7.393    27.300  1012.500  1008.010    76.406    86.810 0 0          173906                
        0.6529906894   0.00522        0.0100387479   0.00398  0           173908                
NYALES20  WETTZELL  3C418    2019 07 16 00 01   9.0000000000              174001                
   -2226650.62674823   0.00454   -20945.9261958458   0.00434 0      I     174002                
   0.00144    .00000    .00000    .00000  -1.443495895108564       0.0    174003                
  0.322   0.384 -0.0000  0.0000  0.0001  0.0000     168534.399            174004
   0.01201   0.00671    .00000    .00000    .00000    .00000              174005                
     7.393    14.690  1012.500   945.500    76.406    87.259 0 0          174006                
        0.9470719002   0.00298        0.0140549881   0.00155  0           174008                
SEJONG    MATERA    3C418    2019 07 16 00 01   9.0000000000              174101                
  -14879214.43715548   0.00773  -716270.9329761073   0.00815 0      I     174102                
   0.00094    .00000    .00000    .00000  -2.366780821841519       0.0    174103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            174104
   0.00000   0.05292    .00000    .00000    .00000    .00000              174105                
    23.490    18.000   992.100   953.500    86.221    94.127 0 0          174106                
        0.3749421632   0.05651       -0.0027588648   0.01279  0           174108                
SEJONG    NYALES20  3C418    2019 07 16 00 01   9.0000000000              174201                
  -12993951.50732566   0.01042  -738973.2815666202   0.00996 0      I     174202                
   0.00066    .00000    .00000    .00000  -1.446971453489172       0.0    174203                
  3.011   0.322  0.0172 -0.0000  0.0151  0.0001    -138661.422            174204
   0.00000   0.01201    .00000    .00000    .00000    .00000              174205                
    23.490     7.393   992.100  1012.500    86.221    76.406 0 0          174206                
       -0.0674639924   0.02598       -0.0323094642   0.00532  0           174208                
SEJONG    SESHAN25  3C418    2019 07 16 00 01   9.0000000000              174301                
     458087.54051801   0.00396    75003.6913075693   0.00524 0      I     174302                
   0.00205    .00000    .00000    .00000   4.982087836609232       0.0    174303                
  3.011   4.622  0.0172 -0.0689  0.0151 -0.0018      52699.967            174304
   0.00000   0.00000    .00000    .00000    .00000    .00000              174305                
    23.490    27.300   992.100  1008.010    86.221    86.810 0 0          174306                
        0.6576909693   0.02075       -0.0057117177   0.00590  0           174308                
SEJONG    WETTZELL  3C418    2019 07 16 00 01   9.0000000000              174401                
  -15220602.01318147   0.00301  -759919.6466767048   0.00262 0      I     174402                
   0.00218    .00000    .00000    .00000  -0.410893898134686       0.0    174403                
  3.011   0.384  0.0172  0.0000  0.0151  0.0000      29872.977            174404
   0.00000   0.00671    .00000    .00000    .00000    .00000              174405                
    23.490    14.690   992.100   945.500    86.221    87.259 0 0          174406                
        0.9085210855   0.03635       -0.0087773913   0.00679  0           174408                
SESHAN25  WETTZELL  3C418    2019 07 16 00 01   9.0000000000              174501                
  -15678689.19368977   0.00244  -834923.2638393037   0.00323 0      I     174502                
   0.00316    .00000    .00000    .00000  -0.781194829669949       0.0    174503                
  4.622   0.384 -0.0689  0.0000 -0.0018  0.0000     -22826.990            174504
   0.00000   0.00671    .00000    .00000    .00000    .00000              174505                
    27.300    14.690  1008.010   945.500    86.810    87.259 0 0          174506                
        0.3177241308   0.00584       -0.0106771650   0.00511  0           174508                
ISHIOKA   KATH12M   0059+581 2019 07 16 00 04  24.0000000000              174601                
   12969739.77389319   0.02097    48179.4000405917   0.02329 0      I     174602                
   0.00034    .00000    .00000    .00000  -1.846729776289369       0.0    174603                
  1.400   5.401 -0.0036  0.0311 -0.0021 -0.0512       2004.033            174604
   0.00000   0.00000    .00000    .00000    .00000    .00000              174605                
    20.413    20.207  1000.700  1002.846    99.400    16.242 0 0          174606                
        0.6056343181   0.01207       -0.1354530482   0.00670  0           174608                
ISHIOKA   MATERA    0059+581 2019 07 16 00 04  24.0000000000              174701                
     -81087.99859662   0.01455 -1117106.5068625691   0.01616 0      I     174702                
   0.00048    .00000    .00000    .00000  -5.662723634309580       0.0    174703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            174704
   0.00000  -0.05371    .00000    .00000    .00000    .00000              174705                
    20.413    18.000  1000.700   953.500    99.400    99.721 0 0          174706                
        0.4704975997   0.01024        0.0077037616   0.00532  0           174708                
ISHIOKA   NYALES20  0059+581 2019 07 16 00 04  24.0000000000              174801                
   -3365271.10359979   0.00793  -706794.3742073837   0.01051 0      I     174802                
   0.00097    .00000    .00000    .00000  -5.003201910363599       0.0    174803                
  1.400   0.326 -0.0036  0.0000 -0.0021  0.0007    -171454.573            174804
   0.00000   0.04404    .00000    .00000    .00000    .00000              174805                
    20.413     7.464  1000.700  1012.500    99.400    75.619 0 0          174806                
        0.0665064581   0.00555        0.0212934884   0.00412  0           174808                
ISHIOKA   SEJONG    0059+581 2019 07 16 00 04  24.0000000000              174901                
   -1688363.09405359   0.00943   -91712.7157058869   0.01321 0      I     174902                
   0.00088    .00000    .00000    .00000   1.004203345400304       0.0    174903                
  1.400   1.070 -0.0036  0.0013 -0.0021  0.0012     -32793.376            174904
   0.00000   0.00000    .00000    .00000    .00000    .00000              174905                
    20.413    23.330  1000.700   992.100    99.400    85.924 0 0          174906                
       -0.0504240342   0.02791       -0.0061476064   0.00839  0           174908                
ISHIOKA   SESHAN25  0059+581 2019 07 16 00 04  24.0000000000              175001                
   -1310145.02071420   0.00912  -115330.0150147143   0.02634 0      I     175002                
   0.00124    .00000    .00000    .00000  -3.373100448202054       0.0    175003                
  1.400   1.566 -0.0036 -0.0055 -0.0021 -0.0001      19906.759            175004
   0.00000   0.00000    .00000    .00000    .00000    .00000              175005                
    20.413    27.314  1000.700  1008.086    99.400    86.886 0 0          175006                
        0.5668452102   0.00755        0.0094137782   0.01295  0           175008                
ISHIOKA   WETTZELL  0059+581 2019 07 16 00 04  24.0000000000              175101                
   -1035719.59945442   0.00571 -1054770.8830597228   0.00659 0      I     175102                
   0.00126    .00000    .00000    .00000  -3.767284508524607       0.0    175103                
  1.400   0.501 -0.0036  0.0007 -0.0021  0.0003      -2920.389            175104
   0.00000   0.00725    .00000    .00000    .00000    .00000              175105                
    20.413    14.613  1000.700   945.500    99.400    86.900 0 0          175106                
        1.0130923871   0.00532        0.0068298026   0.00376  0           175108                
KATH12M   MATERA    0059+581 2019 07 16 00 04  24.0000000000              175201                
  -13050812.65151577   0.02228 -1165285.7180418852   0.01729 0      I     175202                
   0.00026    .00000    .00000    .00000  -3.381941610388899       0.0    175203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            175204
   0.00000  -0.05371    .00000    .00000    .00000    .00000              175205                
    20.207    18.000  1002.846   953.500    16.242    99.721 0 0          175206                
       -0.1524146312   0.01669        0.1591280264   0.00620  0           175208                
KATH12M   NYALES20  0059+581 2019 07 16 00 04  24.0000000000              175301                
  -16335001.07107891   0.01894  -754973.3452554388   0.02508 0      I     175302                
   0.00041    .00000    .00000    .00000  -0.792498084284572       0.0    175303                
  5.401   0.326  0.0311  0.0000 -0.0512  0.0007    -173458.606            175304
   0.00000   0.04404    .00000    .00000    .00000    .00000              175305                
    20.207     7.464  1002.846  1012.500    16.242    75.619 0 0          175306                
       -0.5347837000   0.01172        0.1716302963   0.00817  0           175308                
KATH12M   SEJONG    0059+581 2019 07 16 00 04  24.0000000000              175401                
  -14658101.00730954   0.02026  -139892.1451828561   0.02840 0      I     175402                
   0.00041    .00000    .00000    .00000  -4.044997881733633       0.0    175403                
  5.401   1.070  0.0311  0.0013 -0.0512  0.0012     -34797.409            175404
   0.00000   0.00000    .00000    .00000    .00000    .00000              175405                
    20.207    23.330  1002.846   992.100    16.242    85.924 0 0          175406                
       -0.6355126311   0.05883        0.1467265822   0.01768  0           175408                
KATH12M   SESHAN25  0059+581 2019 07 16 00 04  24.0000000000              175501                
  -14279882.64103776   0.01646  -163509.4434913046   0.04754 0      I     175502                
   0.00069    .00000    .00000    .00000   0.984796823957869       0.0    175503                
  5.401   1.566  0.0311 -0.0055 -0.0512 -0.0001      17902.726            175504
   0.00000   0.00000    .00000    .00000    .00000    .00000              175505                
    20.207    27.314  1002.846  1008.086    16.242    86.886 0 0          175506                
       -0.0444527329   0.01394        0.1911722815   0.02403  0           175508                
KATH12M   WETTZELL  0059+581 2019 07 16 00 04  24.0000000000              175601                
  -14005445.06169197   0.01046 -1102949.9634520744   0.01208 0      I     175602                
   0.00069    .00000    .00000    .00000   0.828325523850381       0.0    175603                
  5.401   0.501  0.0311  0.0007 -0.0512  0.0003      -4924.422            175604
   0.00000   0.00725    .00000    .00000    .00000    .00000              175605                
    20.207    14.613  1002.846   945.500    16.242    86.900 0 0          175606                
        0.4369924774   0.00933        0.1641357355   0.00652  0           175608                
MATERA    NYALES20  0059+581 2019 07 16 00 04  24.0000000000              175701                
   -3284183.07520029   0.00973   410312.5311416176   0.01289 0      I     175702                
   0.00079    .00000    .00000    .00000  -3.888766998493552       0.0    175703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            175704
  -0.05371   0.04404    .00000    .00000    .00000    .00000              175705                
    18.000     7.464   953.500  1012.500    99.721    75.619 0 0          175706                
       -0.3968676452   0.00713        0.0064408723   0.00448  0           175708                
MATERA    SESHAN25  0059+581 2019 07 16 00 04  24.0000000000              175801                
   -1229056.97918118   0.01263  1001778.1225408785   0.03647 0      I     175802                
   0.00090    .00000    .00000    .00000   0.156297578780631       0.0    175803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            175804
  -0.05371   0.00000    .00000    .00000    .00000    .00000              175805                
    18.000    27.314   953.500  1008.086    99.721    86.886 0 0          175806                
        0.0910116070   0.01507        0.0132009679   0.02282  0           175808                
MATERA    WETTZELL  0059+581 2019 07 16 00 04  24.0000000000              175901                
