DATA IN NGS FORMAT FROM DATABASE 19JUL11XE_V002                                                 
       -1.3674332853   0.00646       -0.0287758861   0.00679  0             2208                
NYALES20  YEBES40M  0059+581 2019 07 11 18 41  52.0000000000                2301                
   12562846.30531993   0.00369   -47585.8166423667   0.00809 0      I       2302                
   0.00268    .00000    .00000    .00000   4.545964315440112       0.0      2303                
  0.483   2.081  0.0082 -0.1876 -0.0011  0.0068     163871.891              2304
   0.04528   0.02452    .00000    .00000    .00000    .00000                2305                
     8.155    32.765  1007.069   911.583    76.561    11.174 0 0            2306                
       -1.3057680870   0.00420       -0.0115639096   0.00634  0             2308                
KATH12M   YARRA12M  3C446    2019 07 11 18 43  42.0000000000                2401                
    1821471.75338830   0.01777  -409482.0323835889   0.03185 0      I       2402                
   0.00051    .00000    .00000    .00000  -0.035442591982346       0.0      2403                
  0.431   0.133 -0.0007  0.0031  0.0007  0.0010      14013.378              2404
   0.00000   0.00000    .00000    .00000    .00000    .00000                2405                
    23.744     7.605  1001.282   996.310    51.754    91.238 0 0            2406                
        0.1107828208   0.01272       -0.0065382306   0.01289  0             2408                
FORTLEZA  NYALES20  1123+264 2019 07 11 18 47  28.0000000000                2501                
    6823010.33857519   0.03431   183058.6334426753   0.01828 0      I       2502                
   0.00014    .00000    .00000    .00000  -0.199498678904110       0.1      2503                
  1.104   0.691 -0.0011 -0.0117 -0.0001  0.0062    -171921.415              2504
  -0.02023   0.00756    .00000    .00000    .00000    .00000                2505                
    28.353     8.241  1008.247  1007.000    69.027    75.522 0 0            2506                
       -0.2268293652   0.01837       -0.0056298026   0.00497  0             2508                
HART15M   YEBES40M  1413+135 2019 07 11 18 47  34.0000000000                2601                
   -4024347.97525737   0.00359  -689815.6153315292   0.00107 0      I       2602                
   0.00101    .00000    .00000    .00000  -0.559568361387291       0.0      2603                
  0.122   0.387 -0.0029  0.0030 -0.0050  0.0002     -11106.906              2604
   0.00000   0.01296    .00000    .00000    .00000    .00000                2605                
     8.626    32.519   870.600   911.541    44.549    12.000 0 0            2606                
       -1.4756896530   0.01144        0.0029827866   0.00247  0             2608                
KATH12M   NYALES20  3C418    2019 07 11 18 52  19.0000000000                2701                
  -10173965.53260130   0.01446  -721484.5857924446   0.02948 0      I       2702                
   0.00067    .00000    .00000    .00000  -0.598787935812561       0.0      2703                
  1.360   0.478 -0.0384  0.0012  0.0243 -0.0026    -173987.886              2704
   0.00000   0.05461    .00000    .00000    .00000    .00000                2705                
    23.532     8.170  1001.310  1007.000    52.316    76.408 0 0            2706                
        0.3268174347   0.01907       -0.0491835925   0.02491  0             2708                
KATH12M   YARRA12M  3C418    2019 07 11 18 52  19.0000000000                2801                
    3451580.19115671   0.01784  -273682.9977438370   0.02454 0      I       2802                
   0.00044    .00000    .00000    .00000   4.293715289626096       0.0      2803                
  1.360   0.935 -0.0384  0.3045  0.0243 -0.0391      14013.994              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
    23.532     7.700  1001.310   996.492    52.316    92.024 0 0            2806                
        0.1070718401   0.01689       -0.0068358614   0.01423  0             2808                
NYALES20  YARRA12M  3C418    2019 07 11 18 52  19.0000000000                2901                
   13625550.22556072   0.01381   447802.5062153191   0.02817 0      I       2902                
   0.00070    .00000    .00000    .00000   4.145117026070182       0.0      2903                
  0.478   0.935  0.0012  0.3045 -0.0026 -0.0391     188001.880              2904
   0.05461   0.00000    .00000    .00000    .00000    .00000                2905                
     8.170     7.700  1007.000   996.492    76.408    92.024 0 0            2906                
       -0.1999714765   0.01847        0.0675103025   0.02417  0             2908                
KATH12M   NYALES20  2234+282 2019 07 11 18 54  32.0000000000                3001                
    6856942.62508912   0.01348  -373571.9264651409   0.01107 0      I       3002                
   0.00045    .00000    .00000    .00000   4.426574537455751       0.0      3003                
  0.567   0.925 -0.0051  0.0205  0.0011 -0.0125    -173987.692              3004
   0.00000   0.07116    .00000    .00000    .00000    .00000                3005                
    23.447     8.140  1001.311  1007.000    52.825    76.299 0 0            3006                
        0.3924464834   0.01022        0.0148118793   0.00485  0             3008                
AGGO      FORTLEZA  1424-418 2019 07 11 18 55  17.0000000000                3101                
    1604966.13741564   0.03328    60371.2631977154   0.06560 0      I       3102                
   0.00029    .00000    .00000    .00000   2.805025817134996       0.1      3103                
  0.791   1.637 -0.0024  0.0029 -0.0066  0.0058        495.327              3104
   0.01130  -0.01948    .00000    .00000    .00000    .00000                3105                
    17.200    28.228  1010.100  1008.300    67.211    70.655 0 0            3106                
        0.1459177720   0.01891       -0.0013130558   0.02003  0             3108                
AGGO      HART15M   1424-418 2019 07 11 18 55  17.0000000000                3201                
   -5046219.57240517   0.06206  1249640.9285572593   0.12656 0      I       3202                
   0.00015    .00000    .00000    .00000   1.393918621413703       0.1      3203                
  0.791   0.097 -0.0024  0.0009 -0.0066 -0.0021       3552.233              3204
   0.01130   0.00000    .00000    .00000    .00000    .00000                3205                
    17.200     8.852  1010.100   870.600    67.211    44.016 0 0            3206                
       -0.1729264569   0.02703        0.0003483822   0.01743  0             3208                
FORTLEZA  HART15M   1424-418 2019 07 11 18 55  17.0000000000                3301                
   -6651187.52221496   0.01609  1189269.5211290882   0.03282 0      I       3302                
   0.00059    .00000    .00000    .00000  -0.021963287166371       0.0      3303                
  1.637   0.097  0.0029  0.0009  0.0058 -0.0021       3056.907              3304
  -0.01948   0.00000    .00000    .00000    .00000    .00000                3305                
    28.228     8.852  1008.300   870.600    70.655    44.016 0 0            3306                
       -0.3292439471   0.00787        0.0094121936   0.00722  0             3308                
KATH12M   YARRA12M  0104-408 2019 07 11 18 58   1.0000000000                3401                
     680619.44341058   0.01406  -176816.4257976015   0.01241 0      I       3402                
   0.00045    .00000    .00000    .00000   2.616289454893844       0.0      3403                
  0.527   0.160  0.0030 -0.0032 -0.0039  0.0038      14014.401              3404
   0.00000   0.00000    .00000    .00000    .00000    .00000                3405                
    23.349     7.700  1001.319   996.382    53.159    92.355 0 0            3406                
        0.1058155869   0.02227       -0.0244617916   0.01277  0             3408                
AGGO      FORTLEZA  1057-797 2019 07 11 19 00  17.0000000000                3501                
    9908524.29893451   0.01923    83579.9965777541   0.00646 0      I       3502                
   0.00020    .00000    .00000    .00000   1.015778575341252       0.0      3503                
  0.753   4.109 -0.0044  0.0280 -0.0002 -0.0025        495.397              3504
   0.00336  -0.01723    .00000    .00000    .00000    .00000                3505                
    17.200    28.243  1010.029  1008.300    67.000    70.468 0 0            3506                
        0.2593582105   0.01463        0.0008589006   0.00310  0             3508                
HART15M   NYALES20  1514+197 2019 07 11 19 00  57.0000000000                3601                
    3560081.89590093   0.01865  -307652.2396957038   0.00554 0      I       3602                
   0.00020    .00000    .00000    .00000   4.331468261239059       0.0      3603                
  0.130   0.686 -0.0036 -0.0243 -0.0026 -0.0005    -174977.605              3604
   0.00000   0.06853    .00000    .00000    .00000    .00000                3605                
     8.560     8.137   870.600  1006.900    44.299    76.651 0 0            3606                
        0.0423227473   0.01764        0.0016961040   0.00321  0             3608                
HART15M   YEBES40M  1514+197 2019 07 11 19 00  57.0000000000                3701                
   -4596585.32591284   0.01001  -635598.7225646750   0.00502 0      I       3702                
   0.00047    .00000    .00000    .00000   2.598100064648603       0.0      3703                
  0.130   0.364 -0.0036  0.0020 -0.0026  0.0005     -11107.044              3704
   0.00000   0.00552    .00000    .00000    .00000    .00000                3705                
     8.560    32.016   870.600   911.600    44.299    12.000 0 0            3706                
       -1.4780155079   0.01873       -0.0099981980   0.00673  0             3708                
NYALES20  YEBES40M  1514+197 2019 07 11 19 00  57.0000000000                3801                
   -8156666.01349550   0.00708  -327946.7665618383   0.00355 0      I       3802                
   0.00067    .00000    .00000    .00000  -1.169686449741484       0.0      3803                
  0.686   0.364 -0.0243  0.0020 -0.0005  0.0005     163870.561              3804
   0.06853   0.00552    .00000    .00000    .00000    .00000                3805                
     8.137    32.016  1006.900   911.600    76.651    12.000 0 0            3806                
       -1.5033840969   0.01655       -0.0153782496   0.00600  0             3808                
KATH12M   YARRA12M  2052-474 2019 07 11 19 05  37.0000000000                3901                
   -4107357.50378219   0.02306  -298933.7385043219   0.02841 0      I       3902                
   0.00032    .00000    .00000    .00000  -1.535337801619091       0.0      3903                
  0.560   0.140  0.0042 -0.0021  0.0044 -0.0009      14014.946              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
    23.204     7.600  1001.305   996.326    53.559    92.751 0 0            3906                
        0.0588526928   0.02351       -0.0165405457   0.01798  0             3908                
AGGO      FORTLEZA  OJ287    2019 07 11 19 06  35.0000000000                4001                
   -3079722.49412200   0.01869   518096.4399049251   0.03684 0      I       4002                
   0.00051    .00000    .00000    .00000  -2.826616596724487       0.0      4003                
  1.045   1.475  0.0090 -0.0013  0.0065 -0.0062        495.485              4004
   0.00805  -0.02623    .00000    .00000    .00000    .00000                4005                
    17.300    28.042  1010.000  1008.300    67.008    73.192 0 0            4006                
        0.1416938591   0.01665       -0.1199072024   0.02168  0             4008                
NYALES20  YEBES40M  1806+456 2019 07 11 19 07   1.0000000000                4101                
    1468232.70328061   0.00882  -562655.8847391647   0.01491 0      I       4102                
   0.00099    .00000    .00000    .00000   0.129004913040632       0.0      4103                
  0.435   0.416 -0.0040 -0.0027 -0.0020  0.0014     163870.137              4104
   0.05828   0.01066    .00000    .00000    .00000    .00000                4105                
     8.150    31.654  1007.000   911.600    76.697    12.000 0 0            4106                
       -1.4063840971   0.01150       -0.0230212984   0.01361  0             4108                
KATH12M   YARRA12M  2255-282 2019 07 11 19 08  11.0000000000                4201                
    -184112.53614658   0.00613  -358172.5109179991   0.01209 0      I       4202                
   0.00153    .00000    .00000    .00000  -1.656974754931261       0.0      4203                
  0.418   0.136  0.0010  0.0001  0.0004  0.0008      14015.130              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    23.141     7.579  1001.285   996.400    53.820    92.921 0 0            4206                
        0.0857757291   0.01665        0.0019734251   0.02177  0             4208                
NYALES20  YEBES40M  1642+690 2019 07 11 19 09  33.0000000000                4301                
    3449263.23127199   0.00933  -214660.0108200532   0.02044 0      I       4302                
   0.00106    .00000    .00000    .00000   0.677004577554024       0.0      4303                
  0.349   0.367 -0.0011 -0.0035 -0.0004  0.0004     163869.960              4304
  -0.04837   0.02084    .00000    .00000    .00000    .00000                4305                
     8.089    31.454  1006.906   911.600    75.830    12.231 0 0            4306                
       -1.4505864857   0.00703       -0.0197606811   0.00970  0             4308                
AGGO      FORTLEZA  0748+126 2019 07 11 19 11  20.0000000000                4401                
     449483.03870440   0.04870   501565.3176024282   0.01508 0      I       4402                
   0.00008    .00000    .00000    .00000   0.519381859749240       0.1      4403                
  1.091   2.108  0.0077 -0.0016  0.0121 -0.0164        495.552              4404
   0.01240  -0.02523    .00000    .00000    .00000    .00000                4405                
    17.300    28.100  1010.000  1008.300    67.293    72.733 0 0            4406                
        0.2114998463   0.02250       -0.0029872546   0.00280  0             4408                
HART15M   KATH12M   1954-388 2019 07 11 19 11  29.0000000000                4501                
     668007.39251176   0.01172  1785054.7691359436   0.00636 4      I       4502                
   0.00042    .00000    .00000    .00000   3.369829820067328       0.0      4503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4504
   0.00000   0.00000    .00000    .00000    .00000    .00000                4505                
     8.333    22.983   870.600  1001.277    45.566    54.460 0 0            4506                
       -0.3389474183   0.04094        0.0079388839   0.01479  0             4508                
HART15M   YARRA12M  1954-388 2019 07 11 19 11  29.0000000000                4601                
   -4242589.63382451   0.01060  1465407.6699530594   0.00575 0      I       4602                
   0.00047    .00000    .00000    .00000   0.990269686577009       0.0      4603                
  0.143   0.156  0.0019 -0.0015  0.0079 -0.0020      13024.599              4604
   0.00000   0.00000    .00000    .00000    .00000    .00000                4605                
     8.333     7.535   870.600   996.435    45.566    93.069 0 0            4606                
       -0.2410081818   0.02367        0.0023392571   0.00847  0             4608                
KATH12M   YARRA12M  1954-388 2019 07 11 19 11  29.0000000000                4701                
   -4910596.80614468   0.01509  -319646.5560880092   0.00756 0      I       4702                
