DATA IN NGS FORMAT FROM DATABASE 19JUN13XE_V002                                                 
  2.392   0.376 -0.0216 -0.0005 -0.0143  0.0018    -174228.075              2304
  -0.06432   0.06548    .00000    .00000    .00000    .00000                2305                
    27.968     5.089  1009.200  1015.259    86.773    73.459 0 0            2306                
       -0.2021657814   0.01207       -0.0374622358   0.01047  0             2308                
MATERA    NYALES20  0642+449 2019 06 13 18 41  19.0000000000                2401                
   -6382317.49038510   0.03586  -618218.8070507061   0.07313 2      I       2402                
   0.00027    .00000    .00000    .00000  -4.307900350856293       0.1      2403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2404
   0.08051   0.06548    .00000    .00000    .00000    .00000                2405                
    22.908     5.089   961.408  1015.259    64.424    73.459 0 0            2406                
        3.3249933451   0.01812        0.0160241800   0.01370  0             2408                
KATH12M   YARRA12M  0308-611 2019 06 13 18 42  15.0000000000                2501                
  998164148.67826307   0.09836   109223.2909750614   0.06536 4      I       2502                
   0.00007    .00000    .00000    .00000   0.081081520639360       0.2      2503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2504
   0.00000   0.00000    .00000    .00000    .00000    .00000                2505                
    17.516    11.400   996.580   991.200    77.550    50.000 0 0            2506                
        3.6033487937   0.05702       -7.2008766609   0.01904  0             2508                
KATH12M   YARRA12M  1057-797 2019 06 13 18 45   7.0000000000                2601                
  994195686.38734317   0.10219    41099.1811278062   0.13431 4      I       2602                
   0.00009    .00000    .00000    .00000   4.068430503533023       0.2      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
   0.00000   0.00000    .00000    .00000    .00000    .00000                2605                
    17.480    11.367   996.574   991.200    77.518    50.000 0 0            2606                
        0.7138515550   0.06199        2.6232871878   0.04235  0             2608                
FORTLEZA  HART15M   1243-160 2019 06 13 18 46   4.0000000000                2701                
   -5621074.65594700   0.04335  1525489.8967016770   0.04661 0      I       2702                
   0.00016    .00000    .00000    .00000  -5.689853256334216       0.1      2703                
  1.696   0.076  0.0035  0.0003  0.0109  0.0003       2936.756              2704
  -0.06732   0.00000    .00000    .00000    .00000    .00000                2705                
    27.800     6.972  1009.200   873.728    88.020    40.928 0 0            2706                
       -0.0766070852   0.03864       -0.2030395245   0.02512  0             2708                
FORTLEZA  MATERA    1243-160 2019 06 13 18 46   4.0000000000                2801                
    2867277.07861568   0.02034  1246295.5646876413   0.01037 2      I       2802                
   0.00024    .00000    .00000    .00000   2.819392239635429       0.0      2803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2804
  -0.06732  -0.30235    .00000    .00000    .00000    .00000                2805                
    27.800    22.976  1009.200   961.500    88.020    63.693 0 0            2806                
       -3.2973255210   0.02965       -0.0357743140   0.00806  0             2808                
HART15M   MATERA    1243-160 2019 06 13 18 46   4.0000000000                2901                
    8488350.09689548   0.01157  -279193.6429674058   0.01244 2      I       2902                
   0.00060    .00000    .00000    .00000   2.459738992322953       0.0      2903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2904
   0.00000  -0.30235    .00000    .00000    .00000    .00000                2905                
     6.972    22.976   873.728   961.500    40.928    63.693 0 0            2906                
       -3.1961112970   0.01868       -0.0016951033   0.01079  0             2908                
KATH12M   YARRA12M  0131-522 2019 06 13 18 48   6.0000000000                3001                
  999787923.80467892   0.10477    23479.7249727924   0.06663 4      I       3002                
   0.00006    .00000    .00000    .00000   0.492190885150990       0.2      3003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3004
   0.00000   0.00000    .00000    .00000    .00000    .00000                3005                
    17.469    11.376   996.560   991.200    77.461    50.000 0 0            3006                
        1.8430556643   0.06174       -1.0440629496   0.01997  0             3008                
KATH12M   YARRA12M  2255-282 2019 06 13 18 51   3.0000000000                3101                
 1002083332.29713142   0.11031  -221334.3649547488   0.22495 4      I       3102                
   0.00009    .00000    .00000    .00000   0.595430888100461       0.2      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
   0.00000   0.00000    .00000    .00000    .00000    .00000                3105                
    17.450    11.500   996.560   991.200    77.467    50.000 0 0            3106                
       -1.0662848478   0.06147        4.3064537409   0.06094  0             3108                
FORTLEZA  HART15M   1418+546 2019 06 13 18 52  13.0000000000                3201                
    -322547.91598564   0.09302   804764.5459434020   0.07859 2      I       3202                
   0.00009    .00000    .00000    .00000  -4.123021311138012       0.2      3203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3204
  -0.06732   0.00000    .00000    .00000    .00000    .00000                3205                
    27.800     6.728  1009.200   873.900    87.500    41.916 0 0            3206                
        2.0677984292   0.04437       -2.0408426507   0.01494  0             3208                
FORTLEZA  ISHIOKA   1418+546 2019 06 13 18 52  13.0000000000                3301                
   -3388025.34736800   0.09933  1528772.4105064417   0.07253 2      I       3302                
   0.00007    .00000    .00000    .00000   1.505086555322718       0.2      3303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3304
  -0.06732   0.00000    .00000    .00000    .00000    .00000                3305                
    27.800    16.900  1009.200  1001.300    87.500    97.979 0 0            3306                
        0.1819951481   0.04457        1.6606725585   0.01133  0             3308                
FORTLEZA  MATERA    1418+546 2019 06 13 18 52  13.0000000000                3401                
  -17031467.18256368   0.09744   680154.4841331947   0.07204 1      I       3402                
   0.00006    .00000    .00000    .00000  -2.700372108410370       0.2      3403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3404
  -0.06732  -0.30405    .00000    .00000    .00000    .00000                3405                
    27.800    22.766  1009.200   961.517    87.500    65.553 0 0            3406                
       -7.6948886659   0.04506       -0.1670571803   0.01083  0             3408                
FORTLEZA  NYALES20  1418+546 2019 06 13 18 52  13.0000000000                3501                
  -16001128.99670722   0.04234   786400.9907883743   0.05008 0      I       3502                
   0.00017    .00000    .00000    .00000  -3.586725915042761       0.1      3503                
  7.001   0.294 -0.2226  0.0007  0.1529 -0.0003    -174227.595              3504
  -0.06732   0.05741    .00000    .00000    .00000    .00000                3505                
    27.800     4.621  1009.200  1015.000    87.500    76.287 0 0            3506                
       -0.5762531084   0.02045       -0.1619809150   0.00984  0             3508                
HART15M   ISHIOKA   1418+546 2019 06 13 18 52  13.0000000000                3601                
   -3065497.12703641   0.03338   724055.9789089890   0.02820 0      I       3602                
   0.00018    .00000    .00000    .00000  -5.039566309784195       0.1      3603                
  0.414   1.181  0.0543  0.0037 -0.0009 -0.0039      -3174.431              3604
   0.00000   0.00000    .00000    .00000    .00000    .00000                3605                
     6.728    16.900   873.900  1001.300    41.916    97.979 0 0            3606                
       -0.3150783766   0.01691       -0.0172529447   0.00627  0             3608                
HART15M   MATERA    1418+546 2019 06 13 18 52  13.0000000000                3701                
  -16709000.93257874   0.05088  -124584.9868018557   0.04298 2      I       3702                
   0.00012    .00000    .00000    .00000  -2.180403221377849       0.1      3703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3704
   0.00000  -0.30405    .00000    .00000    .00000    .00000                3705                
     6.728    22.766   873.900   961.517    41.916    65.553 0 0            3706                
       -3.5044669923   0.02854       -0.0183710306   0.00993  0             3708                
HART15M   NYALES20  1418+546 2019 06 13 18 52  13.0000000000                3801                
  -15678612.66846870   0.03210   -18338.6042083215   0.03797 0      I       3802                
   0.00023    .00000    .00000    .00000  -0.857262766464910       0.1      3803                
  0.414   0.294  0.0543  0.0007 -0.0009 -0.0003    -177164.293              3804
   0.00000   0.05741    .00000    .00000    .00000    .00000                3805                
     6.728     4.621   873.900  1015.000    41.916    76.287 0 0            3806                
       -0.1852419108   0.01918       -0.0054481966   0.01165  0             3808                
ISHIOKA   MATERA    1418+546 2019 06 13 18 52  13.0000000000                3901                
  -13643506.34505205   0.04584  -848640.1359575286   0.03389 2      I       3902                
   0.00013    .00000    .00000    .00000  -5.413637644922250       0.1      3903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3904
   0.00000  -0.30405    .00000    .00000    .00000    .00000                3905                
    16.900    22.766  1001.300   961.517    97.979    65.553 0 0            3906                
       -3.2313881583   0.02303       -0.0046038190   0.00627  0             3908                
ISHIOKA   NYALES20  1418+546 2019 06 13 18 52  13.0000000000                4001                
  -12613117.85120644   0.04931  -742393.9654107938   0.05833 0      I       4002                
   0.00015    .00000    .00000    .00000  -0.019373496164323       0.1      4003                
  1.181   0.294  0.0037  0.0007 -0.0039 -0.0003    -173989.862              4004
   0.00000   0.05741    .00000    .00000    .00000    .00000                4005                
    16.900     4.621  1001.300  1015.000    97.979    76.287 0 0            4006                
        0.1468978415   0.02254        0.0001876375   0.00974  0             4008                
MATERA    NYALES20  1418+546 2019 06 13 18 52  13.0000000000                4101                
    1030389.92538820   0.02913   106245.7820100508   0.03445 2      I       4102                
   0.00025    .00000    .00000    .00000  -0.881351524577867       0.1      4103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4104
  -0.30405   0.05741    .00000    .00000    .00000    .00000                4105                
    22.766     4.621   961.517  1015.000    65.553    76.287 0 0            4106                
        3.3557040079   0.01908        0.0198846978   0.01022  0             4108                
KATH12M   YARRA12M  2052-474 2019 06 13 18 53   6.0000000000                4201                
  998046289.64757907   0.10477  -273309.3620085374   0.11916 4      I       4202                
   0.00007    .00000    .00000    .00000   0.893349664499919       0.2      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    17.440    11.434   996.547   991.200    77.449    50.000 0 0            4206                
       -0.7631518753   0.06208       -7.5178411560   0.03612  0             4208                
KATH12M   YARRA12M  1921-293 2019 06 13 18 55  25.0000000000                4301                
  997668227.58301437   0.10861  -385960.9645013460   0.16904 4      I       4302                
   0.00008    .00000    .00000    .00000   2.030325971310559       0.2      4303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4304
   0.00000   0.00000    .00000    .00000    .00000    .00000                4305                
    17.417    11.330   996.514   991.200    77.478    50.000 0 0            4306                
        0.8353903512   0.06459        3.7663125599   0.05150  0             4308                
FORTLEZA  ISHIOKA   1053+704 2019 06 13 18 57  35.0000000000                4401                
    -618380.05376430   0.03618   284878.8671138568   0.01609 0      I       4402                
   0.00012    .00000    .00000    .00000  -0.185448789743991       0.1      4403                
  4.271   1.278 -0.0906  0.0066  0.0103 -0.0008       -237.794              4404
  -0.06432   0.00000    .00000    .00000    .00000    .00000                4405                
    27.442    16.773  1009.200  1001.268    88.717    97.932 0 0            4406                
       -0.5424045111   0.02325       -0.0326432303   0.00556  0             4408                
FORTLEZA  MATERA    1053+704 2019 06 13 18 57  35.0000000000                4501                
  -11710356.99067539   0.02356   401093.6672673848   0.00834 2      I       4502                
   0.00017    .00000    .00000    .00000  -3.026595493507409       0.0      4503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4504
  -0.06432  -0.26008    .00000    .00000    .00000    .00000                4505                
    27.442    22.543  1009.200   961.600    88.717    67.485 0 0            4506                
       -3.6881677631   0.02224       -0.0426761170   0.00399  0             4508                
ISHIOKA   MATERA    1053+704 2019 06 13 18 57  35.0000000000                4601                
  -11091976.86311160   0.02385   116214.8043464531   0.01060 2      I       4602                
   0.00019    .00000    .00000    .00000   0.646077487552016       0.0      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
   0.00000  -0.26008    .00000    .00000    .00000    .00000                4605                
    16.773    22.543  1001.268   961.600    97.932    67.485 0 0            4606                
       -3.1594119849   0.01923       -0.0005077458   0.00419  0             4608                
KATH12M   YARRA12M  1759-396 2019 06 13 18 57  41.0000000000                4701                
  995216087.14773571   0.09496  -320071.7089458638   0.09852 4      I       4702                
   0.00007    .00000    .00000    .00000  -0.136807159441481       0.2      4703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4704
   0.00000   0.00000    .00000    .00000    .00000    .00000                4705                
    17.404    11.369   996.498   991.185    77.439    50.000 0 0            4706                
        1.1162729488   0.05686       -4.3231558614   0.03035  0             4708                
