58385.989643            -0.0727          5076.1233       3       2       3  1427+109  ***********
58385.992166            -0.0655          5076.0536       5       2       3  1417+385  ***********
58385.992919            -0.0659          5076.1743       6       2       3  1409+373  ***********
58385.993949            -0.0521          5076.1625       7       2       3  1413+373  ***********
58385.995129            -0.0719          5076.1883       8       2       3  1413+349  ***********
58385.996229            -0.0754          5076.1577       9       2       3  1415+385  ***********
58385.999967            -0.0375          5075.4754      11       2       3  2113+293  ***********
58386.007410            -0.0458          5075.5827      15       2       3  2000+472  ***********
58386.018625            -0.0599          5076.1867      20       2       3  1459+480  ***********
58386.019504            -0.0771          5076.7207      21       2       3  1415+463  ***********
58386.020662            -0.0705          5076.6726      22       2       3  1419+469  ***********
58386.023208            -0.1073          5076.6548      24       2       3  1422+473  ***********
58386.026449            -0.0292          5075.7572      25       2       3  1749+096  ***********
58386.027352            -0.0551          5075.7621      26       2       3  1732+094  ***********
58386.028509            -0.0224          5075.8051      27       2       3  1732+081  ***********
58386.029447            -0.0237          5075.8100      28       2       3  1734+065  ***********
58386.030349            -0.0292          5075.8120      29       2       3  1734+063  ***********
58386.032109             0.0287          5075.6391      30       2       3  1921-293  ***********
58386.033035             0.0205          5075.6763      31       2       3  1913-272  ***********
58386.034423             0.0132          5075.7276      32       2       3  1914-212  ***********
58386.038509            -0.0058          5075.7171      34       2       3  1917-248  ***********
58386.039597             0.0095          5075.6881      35       2       3  1921-293  ***********
58386.040801             0.0944          5075.6454      36       2       3  1849-365  ***********
58386.042236             0.0558          5075.5939      37       2       3  1910-365  ***********
58386.046518             0.1501          5075.6173      39       2       3  1917-386  ***********
58386.048984            -0.0267          5075.8381      40       2       3  2029+121  ***********
58386.049817            -0.0236          5075.8461      41       2       3  2032+117  ***********
58386.050870            -0.0225          5075.8537      42       2       3  2032+107  ***********
58386.052410            -0.0104          5075.8904      43       2       3  2033+187  ***********
58386.057583            -0.0233          5076.1121      45       2       3  1823+568  ***********
58386.058208            -0.0348          5076.1038      46       2       3  1818+551  ***********
58386.073926             0.0470          5076.5414      55       2       3  1705+018  ***********
58386.074829             0.1503          5076.8019      57       2       3  1706-174  ***********
58386.075419             0.0787          5076.4890      58       2       3  NRAO530   ***********
58386.077699             0.0714          5076.4922      59       2       3  1735-150  ***********
58386.078845             0.0450          5076.4597      60       2       3  1739-152  ***********
58386.080187             0.1036          5076.5432      61       2       3  1740-190  ***********
58386.082259             0.0001          5076.1897      62       2       3  1929+226  ***********
58386.083301            -0.0065          5076.2185      63       2       3  1909+268  ***********
58386.084666            -0.0285          5076.1989      64       2       3  1918+267  ***********
58386.085916            -0.0280          5076.1967      65       2       3  1926+233  ***********
58386.087016            -0.0165          5076.2205      66       2       3  1927+256  ***********
58386.089146            -0.0456          5077.9447      67       2       3  1508+572  ***********
58386.093393            -0.0386          5077.2669      70       2       3  1526+670  ***********
58386.096669             0.0976          5076.3058      72       2       3  1921-293  ***********
58386.097595             0.0510          5076.3108      73       2       3  1913-272  ***********
58386.098984             0.0559          5076.3687      74       2       3  1914-212  ***********
58386.103069             0.0645          5076.3935      76       2       3  1917-248  ***********
58386.104146             0.0970          5076.3806      77       2       3  1921-293  ***********
58386.106785             0.1903          5076.2802      79       2       3  1910-365  ***********
58386.111067             0.2828          5076.2321      81       2       3  1917-386  ***********
58386.113984             0.0174          5076.3532      83       2       3  2207+087  ***********
58386.115025             0.0032          5076.3455      84       2       3  2209+080  ***********
58386.118162             0.0169          5076.3812      86       2       3  2210+065  ***********
58386.120361             0.0240          5077.0170      87       2       3  1749+096  ***********
58386.122433             0.0362          5077.3691      89       2       3  1732+081  ***********
58386.124261             0.0210          5077.4209      91       2       3  1734+063  ***********
58386.125951             0.1781          5076.3439      92       2       3  2002-375  ***********
58386.127051             0.0352          5076.4536      93       2       3  2126-158  ***********
58386.128752             0.0545          5076.4424      94       2       3  2157-200  ***********
58386.130893             0.0306          5076.4518      95       2       3  2158-167  ***********
58386.134088             0.0178          5076.4405      97       2       3  2214-192  ***********
58386.135859             0.1256          5078.4845      98       2       3  1741-038  ***********
58386.145778            -0.0209          5076.7605     103       2       3  2000+472  ***********
58386.155801            -0.0025          5076.7718     108       2       3  2029+121  ***********
58386.156727             0.0032          5076.7819     109       2       3  2032+117  ***********
58386.157768            -0.0018          5076.7851     110       2       3  2032+107  ***********
58386.159088             0.0936          5076.8982     111       2       3  2033+187  ***********
58386.164065            -0.0184          5076.9429     113       2       3  2000+472  ***********
58386.175060            -0.0232          5077.0097     118       2       3  0016+731  ***********
58386.176125            -0.0194          5077.0349     119       2       3  0238+711  ***********
58386.177398            -0.0376          5077.1393     120       2       3  0251+785  ***********
58386.178683             0.0174          5077.1652     121       2       3  0341+729  ***********
58386.181368            -0.0287          5077.5522     123       2       3  1803+784  ***********
58386.182421            -0.0266          5077.4164     124       2       3  1856+736  ***********
58386.184944            -0.0209          5077.3869     126       2       3  1928+770  ***********
58386.185859            -0.0323          5077.3291     127       2       3  1936+714  ***********
