58485.709759             0.0406           904.6564       1  KATH12M   YARRA12M  0955+476         3017473.392
58485.712896             0.1499           904.5832       3  KATH12M   YARRA12M  0727-115         3016864.850
58485.717421             0.1046           904.6925       8  KATH12M   YARRA12M  0748+126         3017380.217
58485.719632             0.1147           904.7124      11  KATH12M   YARRA12M  1144-379         3017413.296
58485.721044            -0.0272           904.2320      12  KATH12M   YARRA12M  1424-418         3016284.215
58485.722074            -0.0514           904.8128      14  KATH12M   YARRA12M  1334-127         3018301.800
58485.723440             0.0944           904.8957      16  KATH12M   YARRA12M  OJ287            3018092.394
58485.725222             0.1191           904.9617      18  KATH12M   YARRA12M  1124-186         3018230.177
58485.727224             0.1406           905.0427      20  KATH12M   YARRA12M  1034-293         3018428.512
58485.730824             0.0969           904.7444      24  KATH12M   YARRA12M  1057-797         3017579.279
58485.733741             0.0899           905.1901      29  KATH12M   YARRA12M  0727-115         3019089.122
58485.736171            -0.0104           904.8643      33  KATH12M   YARRA12M  1424-418         3018337.160
58485.737109            -0.0103           905.2371      34  KATH12M   YARRA12M  1334-127         3019580.210
58485.738625             0.0682           905.3325      37  KATH12M   YARRA12M  0748+126         3019636.740
58485.739736             0.0434           905.3697      39  KATH12M   YARRA12M  OJ287            3019843.467
58485.741981             0.0160           904.3040      42  KATH12M   YARRA12M  0308-611         3016380.185
58485.745210             0.0193           904.7269      48  KATH12M   YARRA12M  0420-014         3017779.638
58485.752247             0.0666           905.7588      57  KATH12M   YARRA12M  1144-379         3021064.178
58485.753706             0.0139           905.5523      59  KATH12M   YARRA12M  1424-418         3020551.288
58485.754690             0.0078           905.8064      61  KATH12M   YARRA12M  1334-127         3021419.004
58485.758486             0.0591           905.9413      65  KATH12M   YARRA12M  0727-115         3021697.748
58485.760569             0.0164           906.0094      66  KATH12M   YARRA12M  OJ287            3022067.197
58485.765268             0.0195           906.1586      70  KATH12M   YARRA12M  0823+033         3022554.753
58485.776009            -0.0056           906.4935      79  KATH12M   YARRA12M  1334-127         3023755.400
58485.778370             0.0142           906.5719      81  KATH12M   YARRA12M  OJ287            3023951.207
58485.780025            -0.0281           906.6179      82  KATH12M   YARRA12M  0955+476         3024245.594
58485.784609             0.0348           906.7984      85  KATH12M   YARRA12M  1144-379         3024637.580
58485.785789             0.0187           906.7029      86  KATH12M   YARRA12M  1424-418         3024372.845
58485.789516             0.0174           906.8679      89  KATH12M   YARRA12M  0748+126         3024927.802
58485.791322             0.0312           906.9282      90  KATH12M   YARRA12M  0727-115         3025082.985
58485.793660            -0.0065           907.0770      92  KATH12M   YARRA12M  1334-127         3025704.997
58485.796148            -0.0117           907.1046      94  KATH12M   YARRA12M  OJ287            3025814.312
58485.797664            -0.0439           907.1454      95  KATH12M   YARRA12M  0955+476         3026057.569
58485.802224             0.0107           907.2624      98  KATH12M   YARRA12M  1424-418         3026266.064
58485.809678             0.0382           907.6232     105  KATH12M   YARRA12M  1144-379         3027377.493
58485.812259             0.0258           907.5482     108  KATH12M   YARRA12M  0727-115         3027168.923
58485.817988             0.0017           907.6980     113  KATH12M   YARRA12M  0748+126         3027749.163
58485.821854            -0.0093           908.0052     116  KATH12M   YARRA12M  1334-127         3028810.383
