DATA IN NGS FORMAT FROM DATABASE 19JUN20XE_V006                                                 
Observed delays and rates in card #2, modified errors in card #9                                
BADARY    ISHIOKA   1639-062 2019 06 20 18 30  30.0000000000                 201                
    5485228.31650931    .01435   621615.2100258825    .02927 0      I        202                
    .00067    .00000    .00000    .00000    .996432907129725        0.       203                
  1.442   6.241  0.0054 -0.1022  0.0058  0.2835    -215292.863               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
    13.685    19.541   917.600   996.500    71.329    98.720 0 0             206                
        -.2644611042    .00512        -.0175488773    .00719  0              208                
BADARY    MEDICINA  1639-062 2019 06 20 18 30  30.0000000000                 301                
     817623.97501733    .00462 -1462901.6562373280    .00942 0      I        302                
    .00208    .00000    .00000    .00000   1.412382983041495        0.       303                
  1.442   1.534  0.0054  0.0214  0.0058 -0.0200    -223781.309               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
    13.685    28.789   917.600  1008.611    71.329    29.900 0 0             306                
        -.4429493938    .00401         .0079025743    .00455  0              308                
MEDICINA  YEBES40M  1639-062 2019 06 20 18 30  30.0000000000                 401                
    2859116.17678676    .00230  -207549.1326326538    .00290 0      I        402                
    .00327    .00000    .00000    .00000   1.157938846698981        0.       403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               404
    .00000 -10.59959    .00000    .00000    .00000    .00000                 405                
    28.789    23.885  1008.611   908.085    29.900    27.000 0 0             406                
        -.8759150450    .00511         .0029503909    .00386  0              408                
MEDICINA  ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                 501                
   -4759342.03912431    .00269   443369.1083908416    .00549 0      I        502                
    .00357    .00000    .00000    .00000  -1.551310110256841        0.       503                
  1.534   0.814  0.0214  0.0034 -0.0200 -0.0017     222319.455               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
    28.789    15.185  1008.611   883.415    29.900    75.971 0 0             506                
        3.4579546595    .00433        -.0001586778    .00573  0              508                
HART15M   ZELENCHK  1639-062 2019 06 20 18 30  30.0000000000                 601                
    4031270.71615764    .00632   397341.3301768111    .01288 0      I        602                
    .00152    .00000    .00000    .00000   2.961043114855653        0.       603                
  0.115   0.814 -0.0004  0.0034 -0.0009 -0.0017     210692.570               604
    .00000    .00000    .00000    .00000    .00000    .00000                 605                
     5.700    15.185   873.900   883.415    46.500    75.971 0 0             606                
        -.6322938396    .00506         .0109791571    .00736  0              608                
