DATA IN NGS FORMAT FROM DATABASE 19JAN10XE_V002                                                 
Made from vgosDB with read.py. Observed delays and rates in card #2                             
   11676998.78817080   0.00393    14116.6579099570   0.00801 0      I      22002                
   0.00242    .00000    .00000    .00000   2.219619333693702       0.0     22003                
  0.602   0.233  0.0015  0.0143  0.0014 -0.0221     -14011.138             22004
   0.00000  -0.00791    .00000    .00000    .00000    .00000               22005                
    16.600    -3.100   859.800   949.300    87.823    98.635 0 0           22006                
        1.1315086152   0.00316       -0.0010149379   0.00380  0            22008                
HART15M   YARRA12M  0727-115 2019 01 10 20 04  59.0000000000               22101                
    4611987.53348192   0.00712  1834349.6165120299   0.01450 0      I      22102                
   0.00134    .00000    .00000    .00000   3.533193181338860       0.0     22103                
  0.602   0.577  0.0015  0.0010  0.0014 -0.0058      -5313.105             22104
   0.00000   0.00000    .00000    .00000    .00000    .00000               22105                
    16.600    15.387   859.800   983.487    87.823    50.000 0 0           22106                
       -0.3398694044   0.00701       -0.0322817127   0.00883  0            22108                
HART15M   YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               22201                
   13434419.55755235   0.00230  -283299.8467094486   0.00503 0      I      22202                
   0.00430    .00000    .00000    .00000   1.322548567360670       0.0     22203                
  0.602   0.351  0.0015  0.0076  0.0014 -0.0308     -16830.779             22204
   0.00000   0.00516    .00000    .00000    .00000    .00000               22205                
    16.600    -0.900   859.800   914.512    87.823    47.000 0 0           22206                
       -1.6924536519   0.00319        0.0231416934   0.00507  0            22208                
HART15M   ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               22301                
    6477878.01186486   0.00274   386640.4271117077   0.00558 0      I      22302                
   0.00348    .00000    .00000    .00000   5.438496655801486       0.0     22303                
  0.602   0.243  0.0015  0.0028  0.0014 -0.0090     201913.095             22304
   0.00000   0.00000    .00000    .00000    .00000    .00000               22305                
    16.600    -0.800   859.800   884.900    87.823    57.700 0 0           22306                
       -0.7839820887   0.00299        0.0027072108   0.00410  0            22308                
KATH12M   MATERA    0727-115 2019 01 10 20 04  59.0000000000               22401                
    -676363.19604239   0.02462 -2201983.4416035195   0.05016 2      I      22402                
   0.00039    .00000    .00000    .00000  -6.273261836325733       0.0     22403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22404
   0.00000   0.66854    .00000    .00000    .00000    .00000               22405                
    26.074     1.093   991.153   951.300    86.203    94.200 0 0           22406                
       -1.2487451502   0.02820       -0.0784654137   0.03005  0            22408                
KATH12M   WETTZ13N  0727-115 2019 01 10 20 04  59.0000000000               22501                
    1985154.90590693   0.01877 -2135849.1874446468   0.03824 2      I      22502                
   0.00052    .00000    .00000    .00000   1.960829584242451       0.0     22503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22504
   0.00000   0.00000    .00000    .00000    .00000    .00000               22505                
    26.074    -3.100   991.153   949.300    86.203    98.633 0 0           22506                
        1.5944846773   0.01680        0.0477097921   0.02075  0            22508                
KATH12M   WETTZELL  0727-115 2019 01 10 20 04  59.0000000000               22601                
    1982978.46371625   0.01369 -2135835.1954342900   0.02789 2      I      22602                
   0.00071    .00000    .00000    .00000   1.689267846835399       0.0     22603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22604
   0.00000  -0.00791    .00000    .00000    .00000    .00000               22605                
    26.074    -3.100   991.153   949.300    86.203    98.635 0 0           22606                
        2.0941066425   0.01357        0.0036750756   0.01711  0            22608                
KATH12M   YARRA12M  0727-115 2019 01 10 20 04  59.0000000000               22701                
   -5082150.43465838   0.01607  -315606.2349633366   0.03274 2      I      22702                
   0.00061    .00000    .00000    .00000  -4.588261172504969       0.0     22703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22704
   0.00000   0.00000    .00000    .00000    .00000    .00000               22705                
    26.074    15.387   991.153   983.487    86.203    50.000 0 0           22706                
        0.6519000294   0.01409       -0.0006212120   0.01734  0            22708                
KATH12M   YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               22801                
    3740352.14808714   0.00853 -2433251.0098326416   0.01867 2      I      22802                
   0.00118    .00000    .00000    .00000   2.863628943238299       0.0     22803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22804
   0.00000   0.00516    .00000    .00000    .00000    .00000               22805                
    26.074    -0.900   991.153   914.512    86.203    47.000 0 0           22806                
        3.1193123359   0.01420        0.0086192583   0.02280  0            22808                
KATH12M   ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               22901                
   -3216245.88731683   0.00909 -1763312.6352542546   0.01852 2      I      22902                
   0.00107    .00000    .00000    .00000  -5.964627032332015       0.0     22903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             22904
   0.00000   0.00000    .00000    .00000    .00000    .00000               22905                
    26.074    -0.800   991.153   884.900    86.203    57.700 0 0           22906                
        0.1810697348   0.01130       -0.0103808113   0.01571  0            22908                
MATERA    WETTZ13N  0727-115 2019 01 10 20 04  59.0000000000               23001                
    2661468.19733528   0.00588    66134.4333830625   0.01198 0      I      23002                
   0.00162    .00000    .00000    .00000   3.969478622702256       0.0     23003                
  0.704   0.200 -0.0034  0.0086 -0.0310 -0.0149       2114.375             23004
   0.66854   0.00000    .00000    .00000    .00000    .00000               23005                
     1.093    -3.100   951.300   949.300    94.200    98.633 0 0           23006                
       -0.9704257246   0.00514        0.0083747453   0.00524  0            23008                
MATERA    WETTZELL  0727-115 2019 01 10 20 04  59.0000000000               23101                
    2659291.75624145   0.00440    66148.3772537686   0.00896 0      I      23102                
   0.00217    .00000    .00000    .00000   3.767979859885227       0.0     23103                
  0.704   0.233 -0.0034  0.0143 -0.0310 -0.0221       -361.516             23104
   0.66854  -0.00791    .00000    .00000    .00000    .00000               23105                
     1.093    -3.100   951.300   949.300    94.200    98.635 0 0           23106                
       -0.4889807510   0.00428        0.0100329866   0.00445  0            23108                
MATERA    YARRA12M  0727-115 2019 01 10 20 04  59.0000000000               23201                
   -4405735.91816642   0.01217  1886381.3147504679   0.02479 0      I      23202                
   0.00078    .00000    .00000    .00000  -2.122147105164584       0.0     23203                
  0.704   0.577 -0.0034  0.0010 -0.0310 -0.0058       8336.518             23204
   0.66854   0.00000    .00000    .00000    .00000    .00000               23205                
     1.093    15.387   951.300   983.487    94.200    50.000 0 0           23206                
       -1.9212757842   0.01392       -0.0347695598   0.01484  0            23208                
MATERA    YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               23301                
    4416715.21597475   0.00279  -231268.0387362823   0.00610 0      I      23302                
   0.00355    .00000    .00000    .00000   0.816115196568477       0.0     23303                
  0.704   0.351 -0.0034  0.0076 -0.0310 -0.0308      -3181.156             23304
   0.66854   0.00516    .00000    .00000    .00000    .00000               23305                
     1.093    -0.900   951.300   914.512    94.200    47.000 0 0           23306                
       -3.2911612955   0.00423        0.0182734123   0.00590  0            23308                
MATERA    ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               23401                
   -2539832.37173624   0.00322   438671.9194934875   0.00656 0      I      23402                
   0.00296    .00000    .00000    .00000  -3.440664312425147       0.0     23403                
  0.704   0.243 -0.0034  0.0028 -0.0310 -0.0090     215562.718             23404
   0.66854   0.00000    .00000    .00000    .00000    .00000               23405                
     1.093    -0.800   951.300   884.900    94.200    57.700 0 0           23406                
       -2.3762159670   0.00419        0.0065733338   0.00502  0            23408                
WETTZ13N  WETTZELL  0727-115 2019 01 10 20 04  59.0000000000               23501                
      -2176.43054331   0.00322       13.9140715358   0.00656 1      I      23502                
   0.00296    .00000    .00000    .00000  -0.245569684642043       0.0     23503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             23504
   0.00000  -0.00791    .00000    .00000    .00000    .00000               23505                
    -3.100    -3.100   949.300   949.300    98.633    98.635 0 0           23506                
        0.4955051812   0.00366        0.0040003129   0.00350  0            23508                
WETTZ13N  YARRA12M  0727-115 2019 01 10 20 04  59.0000000000               23601                
   -7067208.97378068   0.00968  1820246.7399894288   0.01972 0      I      23602                
   0.00099    .00000    .00000    .00000  -4.787157760620882       0.0     23603                
  0.200   0.577  0.0086  0.0010 -0.0149 -0.0058       6222.143             23604
   0.00000   0.00000    .00000    .00000    .00000    .00000               23605                
    -3.100    15.387   949.300   983.487    98.633    50.000 0 0           23606                
       -0.9739973977   0.00938       -0.0109729646   0.01178  0            23608                
WETTZ13N  YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               23701                
    1755247.81212533   0.00222  -297402.4572466025   0.00486 0      I      23702                
   0.00446    .00000    .00000    .00000   0.002673568744425       0.0     23703                
  0.200   0.351  0.0086  0.0076 -0.0149 -0.0308      -5295.531             23704
   0.00000   0.00516    .00000    .00000    .00000    .00000               23705                
    -3.100    -0.900   949.300   914.512    98.633    47.000 0 0           23706                
       -2.3385581402   0.00274        0.0191746449   0.00430  0            23708                
WETTZ13N  ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               23801                
   -5201301.55913031   0.00244   372537.3537985587   0.00498 0      I      23802                
   0.00390    .00000    .00000    .00000  -2.029624494679433       0.0     23803                
  0.200   0.243  0.0086  0.0028 -0.0149 -0.0090     213448.343             23804
   0.00000   0.00000    .00000    .00000    .00000    .00000               23805                
    -3.100    -0.800   949.300   884.900    98.633    57.700 0 0           23806                
       -1.4197303982   0.00263        0.0003345274   0.00359  0            23808                
WETTZELL  YARRA12M  0727-115 2019 01 10 20 04  59.0000000000               23901                
   -7065032.53069730   0.00706  1820232.7902492040   0.01439 0      I      23902                
   0.00135    .00000    .00000    .00000  -4.561389344473851       0.0     23903                
  0.233   0.577  0.0143  0.0010 -0.0221 -0.0058       8698.034             23904
  -0.00791   0.00000    .00000    .00000    .00000    .00000               23905                
    -3.100    15.387   949.300   983.487    98.635    50.000 0 0           23906                
       -1.4761402995   0.00760       -0.0204563686   0.00972  0            23908                
WETTZELL  YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               24001                
    1757424.24542059   0.00161  -297416.3859072131   0.00340 0      I      24002                
   0.00609    .00000    .00000    .00000   0.234037231726105       0.0     24003                
  0.233   0.351  0.0143  0.0076 -0.0221 -0.0308      -2819.641             24004
  -0.00791   0.00516    .00000    .00000    .00000    .00000               24005                
    -3.100    -0.900   949.300   914.512    98.635    47.000 0 0           24006                
       -2.8313167144   0.00228        0.0130733994   0.00349  0            24008                
WETTZELL  ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               24101                
   -5199125.13037403   0.00182   372523.4412340977   0.00371 0      I      24102                
   0.00524    .00000    .00000    .00000  -1.801408234016455       0.0     24103                
  0.233   0.243  0.0143  0.0028 -0.0221 -0.0090     215924.233             24104
  -0.00791   0.00000    .00000    .00000    .00000    .00000               24105                
    -3.100    -0.800   949.300   884.900    98.635    57.700 0 0           24106                
       -1.9123308890   0.00218        0.0014767627   0.00302  0            24108                
YARRA12M  YEBES40M  0727-115 2019 01 10 20 04  59.0000000000               24201                
    8822441.79933871   0.00430 -2117645.4679928403   0.00941 0      I      24202                
   0.00230    .00000    .00000    .00000   3.969645869218714       0.0     24203                
  0.577   0.351  0.0010  0.0076 -0.0058 -0.0308     -11517.674             24204
   0.00000   0.00516    .00000    .00000    .00000    .00000               24205                
    15.387    -0.900   983.487   914.512    50.000    47.000 0 0           24206                
       -1.3648934371   0.00917        0.0324141783   0.01489  0            24208                
YARRA12M  ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               24301                
    1865897.16259053   0.00449 -1447706.6245646321   0.00914 0      I      24302                
   0.00213    .00000    .00000    .00000   1.500817374937266       0.0     24303                
  0.577   0.243  0.0010  0.0028 -0.0058 -0.0090     207226.200             24304
   0.00000   0.00000    .00000    .00000    .00000    .00000               24305                
    15.387    -0.800   983.487   884.900    50.000    57.700 0 0           24306                
       -0.4437119985   0.00678        0.0404664863   0.00958  0            24308                
YEBES40M  ZELENCHK  0727-115 2019 01 10 20 04  59.0000000000               24401                
   -6956550.55206859   0.00117   669939.9432989828   0.00257 0      I      24402                
   0.00844    .00000    .00000    .00000  -0.193007739734503       0.0     24403                
  0.351   0.243  0.0076  0.0028 -0.0308 -0.0090     218743.874             24404
   0.00516   0.00000    .00000    .00000    .00000    .00000               24405                
    -0.900    -0.800   914.512   884.900    47.000    57.700 0 0           24406                
        0.9159010246   0.00253       -0.0142512044   0.00444  0            24408                
ISHIOKA   KOKEE     1417+385 2019 01 10 20 05   1.0000000000               24501                
    2736126.26080410   0.01269  1065693.1338281482   0.00663 0      I      24502                
   0.00038    .00000    .00000    .00000   0.375960781352440       0.0     24503                
  0.145   0.235 -0.0002 -0.0005 -0.0006 -0.0007       8937.453             24504
   0.00000   0.02339    .00000    .00000    .00000    .00000               24505                
     4.200    17.651  1000.537   889.883    65.111    66.563 0 0           24506                
        0.2760025079   0.01027       -0.0169093574   0.00317  0            24508                
ISHIOKA   KATH12M   1144-379 2019 01 10 20 08  16.0000000000               24601                
  -14037218.91622845   0.05538  -110817.6548083569   0.10907 4      I      24602                
   0.00017    .00000    .00000    .00000  -4.984721170295103       0.1     24603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             24604
   0.00000   0.00000    .00000    .00000    .00000    .00000               24605                
     4.200    26.106  1000.600   991.116    65.211    85.890 0 0           24606                
       -4.5165852378   0.04344        0.0257638344   0.05015  0            24608                
ISHIOKA   YARRA12M  1144-379 2019 01 10 20 08  16.0000000000               24701                
  -15505624.57389807   0.02210  -436586.3395090559   0.04502 0      I      24702                
   0.00044    .00000    .00000    .00000   0.639027767251440       0.0     24703                
  0.549   0.359  0.0377 -0.0006  0.0058  0.0004       6642.868             24704
   0.00000   0.00000    .00000    .00000    .00000    .00000               24705                
     4.200    15.282  1000.600   983.400    65.211    50.000 0 0           24706                
       -0.0542167518   0.02046        0.0052671080   0.02548  0            24708                
KATH12M   YARRA12M  1144-379 2019 01 10 20 08  16.0000000000               24801                
   -1468360.01750354   0.04880  -325768.0844873935   0.06865 1      I      24802                
   0.00017    .00000    .00000    .00000  -4.779942724595640       0.1     24803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             24804
   0.00000   0.00000    .00000    .00000    .00000    .00000               24805                
    26.106    15.282   991.116   983.400    85.890    50.000 0 0           24806                
        0.7421535644   0.03522       -0.2056625561   0.02815  0            24808                
HART15M   MATERA    0415+398 2019 01 10 20 09  14.0000000000               24901                
  -12974777.16199357   0.05699  -213469.6402526370   0.03870 0      I      24902                
   0.00010    .00000    .00000    .00000  -0.859107804468116       0.1     24903                
  1.232   0.332  0.0339 -0.0000 -0.0023  0.0003     -13649.743             24904
   0.00000   0.67874    .00000    .00000    .00000    .00000               24905                
    16.589     1.000   859.800   951.305    88.000    94.210 0 0           24906                
        1.4157041132   0.02874        0.0040502018   0.00725  0            24908                
HART15M   WETTZ13N  0415+398 2019 01 10 20 09  14.0000000000               25001                
  -12731468.45366905   0.05289  -273911.7840669960   0.03064 0      I      25002                
   0.00010    .00000    .00000    .00000  -1.025164487129072       0.1     25003                
  1.232   0.026  0.0339  0.0001 -0.0023  0.0000     -11535.308             25004
   0.00000   0.00000    .00000    .00000    .00000    .00000               25005                
    16.589    -3.114   859.800   949.307    88.000    98.907 0 0           25006                
        0.3651038371   0.02362       -0.0093747750   0.00470  0            25008                
HART15M   WETTZELL  0415+398 2019 01 10 20 09  14.0000000000               25101                
  -12733869.44997382   0.07915  -273915.2713672831   0.08660 2      I      25102                
   0.00009    .00000    .00000    .00000  -2.044852582950560       0.1     25103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             25104
   0.00000   0.00429    .00000    .00000    .00000    .00000               25105                
    16.589    -3.113   859.800   949.307    88.000    98.907 0 0           25106                
        0.8489913723   0.03324        0.0034507119   0.00998  0            25108                
HART15M   YEBES40M  0415+398 2019 01 10 20 09  14.0000000000               25201                
  -12534149.22596393   0.02768  -522764.2498554819   0.02070 0      I      25202                
   0.00021    .00000    .00000    .00000  -2.564116797558646       0.0     25203                
  1.232   0.056  0.0339 -0.0000 -0.0023 -0.0003     -16830.895             25204
   0.00000   0.00423    .00000    .00000    .00000    .00000               25205                
    16.589    -0.907   859.800   914.607    88.000    47.071 0 0           25206                
       -1.9248244183   0.01503       -0.0011211113   0.00595  0            25208                
HART15M   ZELENCHK  0415+398 2019 01 10 20 09  14.0000000000               25301                
  -11289643.39992625   0.03653   138821.0287808882   0.06541 0      I      25302                
   0.00024    .00000    .00000    .00000  -3.645236895772346       0.1     25303                
  1.232   0.124  0.0339  0.0000 -0.0023  0.0032     201913.009             25304
   0.00000   0.00000    .00000    .00000    .00000    .00000               25305                
    16.589    -0.800   859.800   884.900    88.000    57.700 0 0           25306                
       -0.8805281788   0.02343       -0.0465299748   0.02405  0            25308                
MATERA    WETTZ13N  0415+398 2019 01 10 20 09  14.0000000000               25401                
     243308.01236203   0.03272   -60442.3937399498   0.02222 0      I      25402                
   0.00017    .00000    .00000    .00000   3.747192023364395       0.1     25403                
  0.332   0.026 -0.0000  0.0001  0.0003  0.0000       2114.436             25404
   0.67874   0.00000    .00000    .00000    .00000    .00000               25405                
     1.000    -3.114   951.305   949.307    94.210    98.907 0 0           25406                
       -1.0917103943   0.02218       -0.0245166534   0.00695  0            25408                
MATERA    WETTZELL  0415+398 2019 01 10 20 09  14.0000000000               25501                
     240907.01391105   0.03519   -60445.9125471205   0.03851 0      I      25502                
   0.00020    .00000    .00000    .00000   5.003018152248383       0.1     25503                
  0.332   0.045 -0.0000  0.0002  0.0003  0.0000       -361.470             25504
   0.67874   0.00429    .00000    .00000    .00000    .00000               25505                
     1.000    -3.113   951.305   949.307    94.210    98.907 0 0           25506                
       -0.5827509888   0.02310        0.0100872139   0.01149  0            25508                
MATERA    YEBES40M  0415+398 2019 01 10 20 09  14.0000000000               25601                
     440624.02847201   0.01564  -309294.7657980109   0.01170 0      I      25602                
   0.00037    .00000    .00000    .00000   5.333576098335635       0.0     25603                
  0.332   0.056 -0.0000 -0.0000  0.0003 -0.0003      -3181.151             25604
   0.67874   0.00423    .00000    .00000    .00000    .00000               25605                
     1.000    -0.907   951.305   914.607    94.210    47.071 0 0           25606                
       -3.3558289521   0.01665       -0.0049495533   0.00765  0            25608                
MATERA    ZELENCHK  0415+398 2019 01 10 20 09  14.0000000000               25701                
    1685138.38244799   0.02945   352290.5180767303   0.05273 0      I      25702                
   0.00030    .00000    .00000    .00000   2.999543902102711       0.1     25703                
  0.332   0.124 -0.0000  0.0000  0.0003  0.0032     215562.752             25704
   0.67874   0.00000    .00000    .00000    .00000    .00000               25705                
     1.000    -0.800   951.305   884.900    94.210    57.700 0 0           25706                
       -2.3376279165   0.02812        0.0360947674   0.02840  0            25708                
WETTZ13N  WETTZELL  0415+398 2019 01 10 20 09  14.0000000000               25801                
      -2401.04438763   0.02209       -3.4881994459   0.02417 8      I      25802                
   0.00032    .00000    .00000    .00000   1.430764520359386       0.0     25803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             25804
   0.00000   0.00429    .00000    .00000    .00000    .00000               25805                
    -3.114    -3.113   949.307   949.307    98.907    98.907 0 0           25806                
        0.0000000000   0.00000        0.0000000000   0.00000  0            25808                
WETTZ13N  YEBES40M  0415+398 2019 01 10 20 09  14.0000000000               25901                
     197316.02459392   0.00976  -248852.3925964380   0.00730 0      I      25902                
   0.00059    .00000    .00000    .00000   4.780801860363299       0.0     25903                
  0.026   0.056  0.0001 -0.0000  0.0000 -0.0003      -5295.587             25904
   0.00000   0.00423    .00000    .00000    .00000    .00000               25905                
    -3.114    -0.907   949.307   914.607    98.907    47.071 0 0           25906                
       -2.2918315155   0.01006        0.0068247286   0.00526  0            25908                
WETTZ13N  ZELENCHK  0415+398 2019 01 10 20 09  14.0000000000               26001                
    1441830.22558772   0.02447   412733.0171453183   0.04381 0      I      26002                
   0.00037    .00000    .00000    .00000   0.324382974336225       0.0     26003                
  0.026   0.124  0.0001  0.0000  0.0000  0.0032     213448.316             26004
   0.00000   0.00000    .00000    .00000    .00000    .00000               26005                
    -3.114    -0.800   949.307   884.900    98.907    57.700 0 0           26006                
       -1.2592646385   0.01875        0.0089407174   0.02083  0            26008                
WETTZELL  YEBES40M  0415+398 2019 01 10 20 09  14.0000000000               26101                
     199717.08392546   0.01009  -248848.9227051496   0.01103 0      I      26102                
   0.00069    .00000    .00000    .00000   3.347555673342123       0.0     26103                
  0.045   0.056  0.0002 -0.0000  0.0000 -0.0003      -2819.682             26104
   0.00429   0.00423    .00000    .00000    .00000    .00000               26105                
    -3.113    -0.907   949.307   914.607    98.907    47.071 0 0           26106                
       -2.7925402867   0.00982       -0.0032683170   0.00744  0            26108                
WETTZELL  ZELENCHK  0415+398 2019 01 10 20 09  14.0000000000               26201                
    1444231.31984401   0.02303   412736.4089467408   0.04123 0      I      26202                
   0.00039    .00000    .00000    .00000   5.204591749892044       0.0     26203                
  0.045   0.124  0.0002  0.0000  0.0000  0.0032     215924.222             26204
   0.00429   0.00000    .00000    .00000    .00000    .00000               26205                
    -3.113    -0.800   949.307   884.900    98.907    57.700 0 0           26206                
       -1.7341223680   0.01596       -0.0120407134   0.01704  0            26208                
YEBES40M  ZELENCHK  0415+398 2019 01 10 20 09  14.0000000000               26301                
    1244514.07734497   0.01230   661585.5075300304   0.02203 0      I      26302                
   0.00073    .00000    .00000    .00000   1.633486739381198       0.0     26303                
  0.056   0.124 -0.0000  0.0000 -0.0003  0.0032     218743.903             26304
   0.00423   0.00000    .00000    .00000    .00000    .00000               26305                
    -0.907    -0.800   914.607   884.900    47.071    57.700 0 0           26306                
        1.0279831500   0.01373       -0.0302529952   0.01879  0            26308                
ISHIOKA   KATH12M   1034-293 2019 01 10 20 10  49.0000000000               26401                
  -12502521.66564919   0.06603   -40414.0401551043   0.08128 2      I      26402                
   0.00011    .00000    .00000    .00000   0.761774126894710       0.1     26403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             26404
   0.00000   0.00000    .00000    .00000    .00000    .00000               26405                
     4.257    26.131  1000.629   991.145    64.929    85.824 0 0           26406                
        3.0819072984   0.03853        0.2342491300   0.02399  0            26408                
ISHIOKA   YARRA12M  1034-293 2019 01 10 20 10  49.0000000000               26501                
  -14793746.99162522   0.01439  -424434.0172764007   0.01349 0      I      26502                
   0.00045    .00000    .00000    .00000  -3.302484867685840       0.0     26503                
  0.418   0.359  0.0234 -0.0001  0.0094 -0.0003       6642.935             26504
   0.00000   0.00000    .00000    .00000    .00000    .00000               26505                
     4.257    15.200  1000.629   983.419    64.929    50.000 0 0           26506                
       -0.0672352240   0.01137        0.0007363450   0.00626  0            26508                
KATH12M   YARRA12M  1034-293 2019 01 10 20 10  49.0000000000               26601                
   -2291178.44841835   0.04921  -384020.1856661785   0.06186 1      I      26602                
   0.00015    .00000    .00000    .00000  -1.405527340605359       0.1     26603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             26604
   0.00000   0.00000    .00000    .00000    .00000    .00000               26605                
    26.131    15.200   991.145   983.419    85.824    50.000 0 0           26606                
        0.6063891906   0.03871       -0.2221591326   0.02852  0            26608                
FORTLEZA  ZELENCHK  0458-020 2019 01 10 20 12  19.0000000000               26701                
   -3422412.38572891   0.00652  1718814.2454236255   0.01329 0      I      26702                
   0.00147    .00000    .00000    .00000  -5.039462979133900       0.0     26703                
  1.818   0.213 -0.0000  0.0011 -0.0070  0.0058     213683.008             26704
  -0.02316   0.00000    .00000    .00000    .00000    .00000               26705                
    10.000    -0.800  1000.000   884.900    50.000    57.700 0 0           26706                
       -1.0500868967   0.00862       -0.0684440358   0.01197  0            26708                
ISHIOKA   KOKEE     1803+784 2019 01 10 20 13  19.0000000000               26801                
    1478891.73661043   0.01568   163352.4301937699   0.03089 0      I      26802                
   0.00060    .00000    .00000    .00000   3.090486059638955       0.0     26803                
  0.199   0.348 -0.0051 -0.0037 -0.0009  0.0002       8937.342             26804
   0.00000   0.02654    .00000    .00000    .00000    .00000               26805                
     4.339    17.929  1000.670   889.800    65.030    65.832 0 0           26806                
        0.3114050893   0.00776       -0.0149471328   0.00650  0            26808                
FORTLEZA  HART15M   0454-234 2019 01 10 20 14  13.0000000000               26901                
  -10591374.94130891   0.03891  1373829.6875552300   0.07928 0      I      26902                
   0.00025    .00000    .00000    .00000  -5.789518864337124       0.1     26903                
  1.791   0.493 -0.0086  0.0002 -0.0062 -0.0002      11770.069             26904
  -0.02191   0.00000    .00000    .00000    .00000    .00000               26905                
    10.000    16.517  1000.000   859.800    50.000    88.011 0 0           26906                
       -0.3666535093   0.01639       -0.0644592477   0.00929  0            26908                
FORTLEZA  YARRA12M  0454-234 2019 01 10 20 14  13.0000000000               27001                
    7788921.80085986   0.07830  2463362.6413740185   0.05028 2      I      27002                
   0.00007    .00000    .00000    .00000   0.661783346922704       0.1     27003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000             27004
  -0.02191   0.00000    .00000    .00000    .00000    .00000               27005                
    10.000    15.189  1000.000   983.500    50.000    50.000 0 0           27006                
       -0.6222177211   0.03260       -0.0655797127   0.00551  0            27008                
HART15M   YARRA12M  0454-234 2019 01 10 20 14  13.0000000000               27101                
   18380308.25702183   0.01759  1089530.5226876717   0.03583 0      I      27102                
   0.00054    .00000    .00000    .00000   0.027110110208463       0.0     27103                
  0.493   2.681  0.0002 -0.0760 -0.0002 -0.1295      -5313.018             27104
   0.00000   0.00000    .00000    .00000    .00000    .00000               27105                
    16.517    15.189   859.800   983.500    88.011    50.000 0 0           27106                
       -0.2738679394   0.00887        0.0070347473   0.00789  0            27108                
ISHIOKA   KOKEE     0212+735 2019 01 10 20 14  58.0000000000               27201                
    4142292.97127587   0.01587  -375746.0214562043   0.03233 0      I      27202                
   0.00060    .00000    .00000    .00000   2.036189053608424       0.0     27203                
  0.348   1.126 -0.0189 -0.0501  0.0013  0.0056       8937.319             27204
   0.00000   0.02782    .00000    .00000    .00000    .00000               27205                
     4.220    18.000  1000.620   889.814    65.061    66.871 0 0           27206                
        0.4348756128   0.00824       -0.0295797966   0.00761  0            27208                
MATERA    WETTZ13N  0718+793 2019 01 10 20 16  55.0000000000               27301                
   -1753124.38051252   0.02891    10815.8023000406   0.05891 0      I      27302                
   0.00033    .00000    .00000    .00000  -0.016956816874914       0.1     27303                
  0.050   0.111  0.0001 -0.0004 -0.0013 -0.0004       2114.589             27304
   0.04974   0.00000    .00000    .00000    .00000    .00000               27305                
     1.000    -3.300   951.411   949.400    94.389    99.000 0 0           27306                
       -1.0778976724   0.02057        0.0104739038   0.01973  0            27308                
MATERA    WETTZELL  0718+793 2019 01 10 20 16  55.0000000000               27401                
   -1755804.44077142   0.01962    10818.1891141270   0.03863 0      I      27402                
   0.00048    .00000    .00000    .00000  -2.193810106937526       0.0     27403                
  0.050   0.127  0.0001 -0.0009 -0.0013 -0.0005       -361.345             27404
   0.04974   0.01091    .00000    .00000    .00000    .00000               27405                
     1.000    -3.300   951.411   949.400    94.389    99.000 0 0           27406                
       -0.6206382914   0.01556       -0.0041071280   0.01495  0            27408                
MATERA    YEBES40M  0718+793 2019 01 10 20 16  55.0000000000               27501                
     842809.46641557   0.01215   -48134.1986963451   0.02564 0      I      27502                
   0.00081    .00000    .00000    .00000  -0.817893389228323       0.0     27503                
  0.050   0.158  0.0001 -0.0011 -0.0013 -0.0005      -3181.109             27504
   0.04974   0.01186    .00000    .00000    .00000    .00000               27505                
     1.000    -1.000   951.411   914.700    94.389    48.000 0 0           27506                
       -3.3451834617   0.01541        0.0093764950   0.02041  0            27508                
MATERA    ZELENCHK  0718+793 2019 01 10 20 16  55.0000000000               27601                
   -1123713.82954088   0.01795    86660.2527577774   0.03658 0      I      27602                
   0.00053    .00000    .00000    .00000  -2.702224603264630       0.0     27603                
