58494.609065        -0.0035        -0.2380        -0.0329        -0.2416  FORTLEZA  ZELENCHK  2141+175    8.6490212   40.5603293   45.9169165
58494.613868        -0.4350        -0.2518        -0.0057        -0.6868  FORTLEZA  ZELENCHK  3C418       8.6490212   57.0759474   42.0010442
58494.616171        -0.1371        -0.2209        -0.0460        -0.3579  FORTLEZA  ZELENCHK  2227-088    8.6490212   43.6941649   61.7014815
58494.639991         0.2508        -0.1523        -0.0508         0.0985  FORTLEZA  ZELENCHK  2355-106    8.6490212   57.1082965   57.8390783
58494.643648         0.2895        -0.2305        -0.0443         0.0589  FORTLEZA  ZELENCHK  2227-088    8.6490212   33.9125054   66.8765929
58494.647004        -0.2285        -0.2722        -0.0019        -0.5007  FORTLEZA  ZELENCHK  3C418       8.6490212   55.4142843   49.0557960
58494.654944        -0.3246         0.0680        -0.0429        -0.2566  FORTLEZA  ZELENCHK  0054+161    8.6490212   68.8171301   29.5476662
58494.678208         0.1191        -0.2904         0.0019        -0.1713  FORTLEZA  ZELENCHK  3C418       8.6490212   55.5482209   55.3880313
58494.680384         0.2747         0.2132        -0.0128         0.4879  FORTLEZA  ZELENCHK  0059+581    8.6490212   77.7740405   19.6355627
58494.723335         0.1272        -0.1265        -0.0147         0.0007  FORTLEZA  ZELENCHK  0059+581    8.6490212   71.2629617   26.7825439
58494.737236        -0.2969        -0.3431         0.0093        -0.6400  FORTLEZA  ZELENCHK  3C418       8.6490212   60.1534992   66.2499033
58494.756831        -0.1040        -0.3778         0.0033        -0.4817  FORTLEZA  ZELENCHK  2229+695    8.6490212   73.9024670   48.4636583
58494.765454        -0.6893        -0.3946         0.0127        -1.0839  FORTLEZA  ZELENCHK  3C418       8.6490212   64.0506982   70.7868749
