DATA IN NGS FORMAT FROM DATABASE 19JUL18XE_V005                                                 
    .00176    .00000    .00000    .00000    .484780905733954        0.       203                
  1.826   1.727 -0.0053  0.0000 -0.0162  0.0317    -213260.327               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
    15.600    11.500   911.300   998.000    91.700    62.300 0 0             206                
        -.4493388432    .00465         .0189881774    .00617  0              208                
KATH12M   ZELENCHK  1741-038 2019 07 18 18 30  30.0000000000                 301                
   -9892311.99607792    .00394 -1685674.9417418780    .00803 0      I        302                
    .00242    .00000    .00000    .00000  -3.280705003658954        0.       303                
  1.727   0.844  0.0000  0.0059  0.0317 -0.0024     212228.390               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
    11.500    15.800   998.000   883.200    62.300    87.768 0 0             306                
        3.4536953824    .00736         .0046645539    .01068  0              308                
HART15M   ZELENCHK  1741-038 2019 07 18 18 30  30.0000000000                 401                
    4099237.07728270    .00212   372194.5374707655    .00433 0      I        402                
    .00449    .00000    .00000    .00000   4.556367155290180        0.       403                
  0.117   0.844  0.0012  0.0059  0.0001 -0.0024     210911.887               404
    .00000    .00000    .00000    .00000    .00000    .00000                 405                
     9.400    15.800   868.900   883.200    37.516    87.768 0 0             406                
        -.7347248272    .00280        -.0109543348    .00406  0              408                
BADARY    HART15M   1741-038 2019 07 18 18 30  30.0000000000                 501                
  -10830272.11272131    .00375 -1315853.5036072430    .00764 0      I        502                
    .00254    .00000    .00000    .00000  -2.531020363111686        0.       503                
  1.826   0.117 -0.0053  0.0012 -0.0162  0.0001    -211943.824               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
    15.600     9.400   911.300   868.900    91.700    37.516 0 0             506                
        3.7494956225    .00254         .0258875516    .00350  0              508                
HART15M   KATH12M   1741-038 2019 07 18 18 30  30.0000000000                 601                
   13991572.66349005    .01051  2057872.1158702550    .02144 0      I        602                
    .00091    .00000    .00000    .00000   5.983371425348429        0.       603                
  0.117   1.727  0.0012  0.0000  0.0001  0.0317      -1316.503               604
    .00000    .00000    .00000    .00000    .00000    .00000                 605                
     9.400    11.500   868.900   998.000    37.516    62.300 0 0             606                
       -4.2033928962    .00801        -.0061192976    .01101  0              608                
FORTLEZA  NYALES20  0642+449 2019 07 18 18 33  39.0000000000                 701                
  -10121998.84216090    .03915  -882218.0955062030    .07984 0      I        702                
    .00024    .00000    .00000    .00000   -.979741544997654        0.       703                
  4.530   0.405 -0.0216 -0.0011  0.0922 -0.0017    -171478.326               704
   -.02970   -.00925    .00000    .00000    .00000    .00000                 705                
    27.700     3.927  1010.600  1003.400    62.100    89.333 0 0             706                
        -.5534768881    .00842         .0511280716    .01239  0              708                
BADARY    ZELENCHK  1514+197 2019 07 18 18 34   9.0000000000                 801                
  -11750009.58068741    .00603  -427364.2637398020    .00541 0      I        802                
    .00105    .00000    .00000    .00000   -.782099904966412        0.       803                
  2.183   0.667  0.0025  0.0017 -0.0292  0.0034      -1031.819               804
    .00000    .00000    .00000    .00000    .00000    .00000                 805                
    15.571    15.800   911.300   883.224    91.729    87.528 0 0             806                
        2.9898809593    .00556         .0013787456    .00356  0              808                
HART15M   ZELENCHK  1514+197 2019 07 18 18 34   9.0000000000                 901                
   -3089430.81863138    .01251   181770.0877017144    .01121 0      I        902                
    .00051    .00000    .00000    .00000   1.004687907560644        0.       903                
  0.147   0.667  0.0038  0.0017 -0.0000  0.0034     210911.987               904
    .00000    .00000    .00000    .00000    .00000    .00000                 905                
     9.400    15.800   868.900   883.224    37.576    87.528 0 0             906                
        -.7774857544    .01284        -.0234133572    .00820  0              908                
BADARY    HART15M   1514+197 2019 07 18 18 34   9.0000000000                1001                
   -8660577.20151066    .02150  -609134.4295318179    .01927 0      I       1002                
    .00029    .00000    .00000    .00000  -4.397639025895931        0.      1003                
  2.183   0.147  0.0025  0.0038 -0.0292 -0.0000    -211943.805              1004
    .00000    .00000    .00000    .00000    .00000    .00000                1005                
    15.571     9.400   911.300   868.900    91.729    37.576 0 0            1006                
        3.7654003509    .01128         .0200037744    .00686  0             1008                
BADARY    FORTLEZA  1418+546 2019 07 18 18 37  18.0000000000                1101                
    2991248.71655628    .10327 -1102691.0708993920    .20358 8      I       1102                
    .00012    .00000    .00000    .00000   2.444046848231879        0.      1103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1104
    .00000   -.03445    .00000    .00000    .00000    .00000                1105                
    15.500    27.700   911.300  1010.600    91.820    62.100 0 0            1106                
        3.5800225527    .04993       -2.7227230079    .06696  0             1108                
NYALES20  ZELENCHK  0958+346 2019 07 18 18 39   7.0000000000                1201                
    8323834.82021074    .03228   645057.8731287189    .02220 1      I       1202                
    .00017    .00000    .00000    .00000   3.219474136508070        0.      1203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1204
   -.01185    .00000    .00000    .00000    .00000    .00000                1205                
     4.300    15.800  1003.500   883.273    88.100    87.437 0 0            1206                
        3.2287193270    .01530        -.0032444695    .00758  0             1208                
HART15M   KATH12M   2236-572 2019 07 18 18 39  24.0000000000                1301                
   -8946505.74299218    .02483   874678.5821584780    .01454 0      I       1302                
    .00021    .00000    .00000    .00000  -3.679942944782150        0.      1303                
  0.331   0.449 -0.0198  0.0001  0.0004  0.0002      -1316.757              1304
    .00000    .00000    .00000    .00000    .00000    .00000                1305                
     9.400    11.368   868.900   998.000    37.419    62.468 0 0            1306                
       -4.2153349895    .01642        -.0058578989    .00650  0             1308                
BADARY    FORTLEZA  1053+704 2019 07 18 18 40   2.0000000000                1401                
    5703798.82685188    .10065   -22214.3140780489    .13227 8      I       1402                
    .00008    .00000    .00000    .00000   -.515818117447037        0.      1403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1404
    .00000   -.02870    .00000    .00000    .00000    .00000                1405                
    15.520    27.700   911.300  1010.600    91.961    62.100 0 0            1406                
        2.9670683501    .04370        7.3044345012    .03921  0             1408                
BADARY    ZELENCHK  0059+581 2019 07 18 18 43  25.0000000000                1501                
    9171763.72958913    .00223  -101225.7186181227    .00455 0      I       1502                
    .00427    .00000    .00000    .00000   1.390181806930159        0.      1503                
  0.758   1.312  0.0005 -0.0159  0.0015 -0.0148      -1031.520              1504
    .00000    .00000    .00000    .00000    .00000    .00000                1505                
    15.585    15.822   911.292   883.207    92.200    87.793 0 0            1506                
        3.0558413475    .00381         .0219845418    .00553  0             1508                
BADARY    NYALES20  0059+581 2019 07 18 18 43  25.0000000000                1601                
    1646625.58334666    .00468   334663.7826025988    .00954 0      I       1602                
    .00204    .00000    .00000    .00000   5.840297356841664        0.      1603                
  0.758   0.326  0.0005 -0.0008  0.0015  0.0005    -386363.830              1604
    .00000   -.08485    .00000    .00000    .00000    .00000                1605                
    15.585     4.200   911.292  1003.500    92.200    89.160 0 0            1606                
        -.0999673280    .00215        -.0069964490    .00299  0             1608                
BADARY    KATH12M   0059+581 2019 07 18 18 43  25.0000000000                1701                
   12618311.13026119    .01155    66895.5049363533    .02356 0      I       1702                
    .00083    .00000    .00000    .00000  -1.790593935777970        0.      1703                
  0.758   1.353  0.0005 -0.0008  0.0015 -0.0047    -213260.630              1704
    .00000    .00000    .00000    .00000    .00000    .00000                1705                
    15.585    11.285   911.292   998.000    92.200    62.430 0 0            1706                
        -.4029600689    .00417        -.0078193020    .00585  0             1708                
KATH12M   NYALES20  0059+581 2019 07 18 18 43  25.0000000000                1801                
  -10971689.01854899    .01788   267769.0027651691    .01734 0      I       1802                
    .00037    .00000    .00000    .00000   -.474054458521928        0.      1803                
  1.353   0.326 -0.0008 -0.0008 -0.0047  0.0005    -173103.200              1804
    .00000   -.08485    .00000    .00000    .00000    .00000                1805                
    11.285     4.200   998.000  1003.500    62.430    89.160 0 0            1806                
         .3024617893    .00703        -.0077861598    .00467  0             1808                
KATH12M   ZELENCHK  0059+581 2019 07 18 18 43  25.0000000000                1901                
   -3446545.27763675    .01303  -168120.2950086147    .02658 0      I       1902                
    .00073    .00000    .00000    .00000   1.082289625406408        0.      1903                
  1.353   1.312 -0.0008 -0.0159 -0.0047 -0.0148     212229.110              1904
    .00000    .00000    .00000    .00000    .00000    .00000                1905                
    11.285    15.822   998.000   883.207    62.430    87.793 0 0            1906                
        3.4870516320    .01902        -.0013223067    .02761  0             1908                
NYALES20  ZELENCHK  0059+581 2019 07 18 18 43  25.0000000000                2001                
    7525139.02374242    .00328  -435889.3464208137    .00669 0      I       2002                
    .00291    .00000    .00000    .00000   3.504190025487352        0.      2003                
  0.326   1.312 -0.0008 -0.0159  0.0005 -0.0148     385332.310              2004
   -.08485    .00000    .00000    .00000    .00000    .00000                2005                
     4.200    15.822  1003.500   883.207    89.160    87.793 0 0            2006                
        3.1582489336    .00938         .0073457568    .01360  0             2008                
KATH12M   NYALES20  0017+200 2019 07 18 18 46  31.0000000000                2101                
   12094764.24623072    .02517   170010.2649355429    .04023 0      I       2102                
    .00034    .00000    .00000    .00000   4.903548020269487        0.      2103                
  0.414   1.146 -0.0001 -0.0117 -0.0005  0.0152    -173102.925              2104
    .00000   -.06595    .00000    .00000    .00000    .00000                2105                
    11.200     4.400   998.000  1003.500    62.600    90.200 0 0            2106                
         .4547814394    .01656         .0122959817    .01788  0             2108                
KATH12M   NYALES20  2209+236 2019 07 18 18 50    .0000000000                2201                
    7974533.24360846    .01980  -683507.0994400326    .00901 0      I       2202                
    .00023    .00000    .00000    .00000   4.429206273244967        0.      2203                
  0.439   0.696 -0.0001 -0.0016  0.0006  0.0073    -173102.616              2204
    .00000   -.09330    .00000    .00000    .00000    .00000                2205                
    11.177     4.200   998.023  1003.500    62.670    90.083 0 0            2206                
         .3177250636    .02146         .0036389262    .00656  0             2208                
BADARY    ZELENCHK  2059+034 2019 07 18 18 52  13.0000000000                2301                
    4364473.45036910    .00132 -1013272.6432223900    .00048 0      I       2302                
    .00305    .00000    .00000    .00000   3.859980091322559        0.      2303                
  0.943   1.238 -0.0021  0.0056 -0.0005 -0.0207      -1031.233              2304
    .00000    .00000    .00000    .00000    .00000    .00000                2305                
    15.437    16.132   911.200   883.300    92.457    87.252 0 0            2306                
        3.0605223944    .00239         .0083445269    .00062  0             2308                
HART15M   ZELENCHK  2059+034 2019 07 18 18 52  13.0000000000                2401                
   -3255319.06728776    .00271   383785.9849419804    .00098 0      I       2402                
    .00149    .00000    .00000    .00000  -6.062955200835484        0.      2403                
  0.362   1.238  0.0061  0.0056  0.0003 -0.0207     210912.481              2404
    .00000    .00000    .00000    .00000    .00000    .00000                2405                
     9.465    16.132   868.965   883.300    37.389    87.252 0 0            2406                
        -.7729351625    .00849         .0040629923    .00219  0             2408                
BADARY    HART15M   2059+034 2019 07 18 18 52  13.0000000000                2501                
    7619789.50921784    .00364 -1397058.1727513930    .00132 0      I       2502                
    .00111    .00000    .00000    .00000   5.540657645745798        0.      2503                
  0.943   0.362 -0.0021  0.0061 -0.0005  0.0003    -211943.713              2504
    .00000    .00000    .00000    .00000    .00000    .00000                2505                
    15.437     9.465   911.200   868.965    92.457    37.389 0 0            2506                
        3.8389770653    .00671         .0055619013    .00163  0             2508                
FORTLEZA  HART15M   1057-797 2019 07 18 18 57  40.0000000000                2601                
   -4595969.81522003    .01078   157362.6517923995    .02199 8      I       2602                
    .00089    .00000    .00000    .00000   -.720451520735631        0.      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
   -.03320    .00000    .00000    .00000    .00000    .00000                2605                
    27.700     9.386  1010.600   868.900    62.100    37.055 0 0            2606                
         .0000000000    .00000         .0000000000    .00000  0             2608                
BADARY    KATH12M   0048-097 2019 07 18 18 57  58.0000000000                2701                
  -14508422.77784307    .01944   219375.4421289932    .01796 0      I       2702                
    .00033    .00000    .00000    .00000  -5.761254203055895        0.      2703                
  2.341   0.352 -0.0110 -0.0000  0.0226 -0.0005    -213260.968              2704
    .00000    .00000    .00000    .00000    .00000    .00000                2705                
    15.527    11.110   911.200   998.100    92.927    62.880 0 0            2706                
        -.5634704366    .01348         .0008230413    .00841  0             2708                
NYALES20  ZELENCHK  1351-018 2019 07 18 18 58  31.0000000000                2801                
   -5209001.32132537    .01253   782144.6763120247    .02555 0      I       2802                
    .00076    .00000    .00000    .00000  -2.663905177287806        0.      2803                
  1.725   1.442  0.0367  0.0090 -0.0197  0.0268     385331.816              2804
   -.00035    .00000    .00000    .00000    .00000    .00000                2805                
     4.400    16.178  1003.600   883.307    91.600    86.344 0 0            2806                
        3.0385238456    .00840         .0142579177    .01225  0             2808                
FORTLEZA  HART15M   1144-379 2019 07 18 19 01  12.0000000000                2901                
    7148639.00031463    .03262   913468.4234198554    .06653 0      I       2902                
    .00029    .00000    .00000    .00000    .580451605654174        0.      2903                
  0.814   0.230  0.0008 -0.0048  0.0003  0.0000       2941.990              2904
   -.03595    .00000    .00000    .00000    .00000    .00000                2905                
    27.700     9.313  1010.600   868.900    62.100    37.387 0 0            2906                
        3.8721064787    .01033        -.0232676420    .01462  0             2908                
BADARY    NYALES20  0322+222 2019 07 18 19 01  21.0000000000                3001                
    2270481.47826534    .00904   879717.6655919821    .01844 0      I       3002                
    .00105    .00000    .00000    .00000   1.773209219656097        0.      3003                
  1.932   1.200  0.0026 -0.0195  0.0183  0.0007    -386362.658              3004
    .00000   -.06005    .00000    .00000    .00000    .00000                3005                
    15.613     4.400   911.187  1003.700    92.987    91.367 0 0            3006                
        -.0139273000    .00770         .0098061201    .01057  0             3008                
NYALES20  ZELENCHK  1212+171 2019 07 18 19 06  40.0000000000                3101                
    2218848.25771258    .01682   837596.4373394303    .00790 0      I       3102                
    .00027    .00000    .00000    .00000    .958801641978579        0.      3103                
  0.591   1.867  0.0025 -0.0032 -0.0039  0.0503     385331.549              3104
    .02455    .00000    .00000    .00000    .00000    .00000                3105                
     4.530    15.802  1003.700   883.400    91.160    87.063 0 0            3106                
        3.1697146160    .01750         .0062259218    .00586  0             3108                
HART15M   ZELENCHK  1212+171 2019 07 18 19 06  40.0000000000                3201                
   -1849486.65188371    .02327  -168245.7416143391    .01092 0      I       3202                
    .00020    .00000    .00000    .00000  -2.490227925746616        0.      3203                
  0.538   1.867  0.0228 -0.0032  0.0006  0.0503     210912.876              3204
    .00000    .00000    .00000    .00000    .00000    .00000                3205                
     9.377    15.802   868.900   883.400    37.461    87.063 0 0            3206                
        -.7503513697    .01866         .0003611052    .00625  0             3208                
HART15M   NYALES20  1212+171 2019 07 18 19 06  40.0000000000                3301                
   -4068331.64750403    .03796 -1005841.3243763410    .01128 0      I       3302                
    .00010    .00000    .00000    .00000  -4.638592253946376        0.      3303                
  0.538   0.591  0.0228  0.0025  0.0006 -0.0039    -174418.673              3304
    .00000    .02455    .00000    .00000    .00000    .00000                3305                
     9.377     4.530   868.900  1003.700    37.461    91.160 0 0            3306                
       -3.8975294413    .01745        -.0031237030    .00353  0             3308                
BADARY    KATH12M   2355-106 2019 07 18 19 10  40.0000000000                3401                
  -13527363.37864152    .01296   429098.1533666404    .02643 0      I       3402                
    .00074    .00000    .00000    .00000  -3.780805643695048        0.      3403                
  1.682   0.337 -0.0071 -0.0000  0.0076 -0.0001    -213261.263              3404
    .00000    .00000    .00000    .00000    .00000    .00000                3405                
    15.673    11.293   911.100   998.100    92.192    62.537 0 0            3406                
        -.5539058109    .00635        -.0382528506    .00881  0             3408                
FORTLEZA  ZELENCHK  1639-062 2019 07 18 19 11  31.0000000000                3501                
   -3857531.91247941    .01249  1682453.8712375380    .02462 0      I       3502                
    .00076    .00000    .00000    .00000    .457988273455752        0.      3503                
  1.559   0.965  0.0005  0.0060 -0.0119  0.0035     213854.872              3504
   -.02620    .00000    .00000    .00000    .00000    .00000                3505                
    27.700    15.581  1010.600   883.400    62.100    87.530 0 0            3506                
        3.0478273791    .00609        -.0133872839    .00864  0             3508                
BADARY    FORTLEZA  1741-038 2019 07 18 19 14  16.0000000000                3601                
    1240037.01680539    .00813 -2358478.5212067160    .01603 0      I       3602                
    .00117    .00000    .00000    .00000   5.141089738963541        0.      3603                
  2.490   3.614 -0.0086  0.0018 -0.0256 -0.0709    -214885.427              3604
    .00000   -.02270    .00000    .00000    .00000    .00000                3605                
    15.480    27.700   911.090  1010.600    91.490    62.100 0 0            3606                
         .0970594753    .00621         .0720247441    .00825  0             3608                
NYALES20  ZELENCHK  1514+197 2019 07 18 19 14  52.0000000000                3701                
   -5295850.13506405    .00908   602061.9663933248    .00779 0      I       3702                
    .00068    .00000    .00000    .00000  -2.324667989207987        0.      3703                
  0.476   0.778  0.0023  0.0014 -0.0003  0.0050     385331.281              3704
   -.00460    .00000    .00000    .00000    .00000    .00000                3705                
     4.700    15.500  1003.770   883.400    91.670    88.169 0 0            3706                
        3.0962105624    .01541         .0064605525    .00940  0             3708                
HART15M   ZELENCHK  1514+197 2019 07 18 19 14  52.0000000000                3801                
   -2721476.00255972    .01262   118664.7896370262    .01082 0      I       3802                
    .00049    .00000    .00000    .00000  -5.399189996008571        0.      3803                
  0.165   0.778  0.0041  0.0014 -0.0001  0.0050     210913.101              3804
    .00000    .00000    .00000    .00000    .00000    .00000                3805                
     9.300    15.500   868.900   883.400    37.986    88.169 0 0            3806                
        -.8067212510    .01373         .0010020464    .00839  0             3808                
HART15M   NYALES20  1514+197 2019 07 18 19 14  52.0000000000                3901                
    2574372.48597280    .02082  -483396.9729172792    .00724 0      I       3902                
    .00019    .00000    .00000    .00000   5.711441372762617        0.      3903                
  0.165   0.476  0.0041  0.0023 -0.0001 -0.0003    -174418.179              3904
    .00000   -.00460    .00000    .00000    .00000    .00000                3905                
     9.300     4.700   868.900  1003.770    37.986    91.670 0 0            3906                
       -3.9052089711    .01456        -.0127907869    .00342  0             3908                
BADARY    ZELENCHK  1642+690 2019 07 18 19 19  12.0000000000                4001                
   -2434486.24287469    .00517  -219363.8072703082    .01054 0      I       4002                
    .00185    .00000    .00000    .00000  -1.984108408488889        0.      4003                
  0.800   0.674  0.0010 -0.0016 -0.0010  0.0007      -1030.352              4004
    .00000    .00000    .00000    .00000    .00000    .00000                4005                
    15.300    15.500   911.015   883.385    91.430    88.385 0 0            4006                
        3.0046975095    .00320         .0192806290    .00468  0             4008                
FORTLEZA  ZELENCHK  1642+690 2019 07 18 19 19  12.0000000000                4101                
  -16592626.29864890    .01811   614530.9324604045    .03693 0      I       4102                
    .00053    .00000    .00000    .00000  -3.824928630319372        0.      4103                
  6.241   0.674 -0.0988 -0.0016 -0.0706  0.0007     213854.989              4104
   -.02370    .00000    .00000    .00000    .00000    .00000                4105                
    27.700    15.500  1010.600   883.385    62.100    88.385 0 0            4106                
        2.6299653171    .01153        -.0278356091    .01683  0             4108                
BADARY    FORTLEZA  1642+690 2019 07 18 19 19  12.0000000000                4201                
   14158131.19099282    .01832  -833894.3856088740    .03611 0      I       4202                
    .00052    .00000    .00000    .00000   3.614539703151439        0.      4203                
  0.800   6.241  0.0010 -0.0988 -0.0010 -0.0706    -214885.341              4204
    .00000   -.02370    .00000    .00000    .00000    .00000                4205                
    15.300    27.700   911.015  1010.600    91.430    62.100 0 0            4206                
         .3544400811    .00854         .0619116545    .01147  0             4208                
BADARY    ZELENCHK  2000+472 2019 07 18 19 22  31.0000000000                4301                
     502338.05508805    .00378  -714032.8381068406    .00771 0      I       4302                
    .00252    .00000    .00000    .00000    .850543144981449        0.      4303                
  0.666   0.648 -0.0000 -0.0005 -0.0006 -0.0022      -1030.245              4304
    .00000    .00000    .00000    .00000    .00000    .00000                4305                
    15.286    15.529   911.086   883.315    91.643    88.226 0 0            4306                
        2.9887399804    .00456         .0036008467    .00663  0             4308                
BADARY    NYALES20  2000+472 2019 07 18 19 22  31.0000000000                4401                
    3073412.11648775    .00738  -488194.8352851564    .01505 0      I       4402                
    .00129    .00000    .00000    .00000   -.910981988024143        0.      4403                
  0.666   0.315 -0.0000  0.0002 -0.0006  0.0005    -386361.274              4404
    .00000   -.02523    .00000    .00000    .00000    .00000                4405                
    15.286     4.300   911.086  1003.800    91.643    91.800 0 0            4406                
        -.1201053735    .00466        -.0098136596    .00643  0             4408                
BADARY    KATH12M   2000+472 2019 07 18 19 22  31.0000000000                4501                
   16454046.53795323    .01877   555210.0662341440    .03828 0      I       4502                
    .00051    .00000    .00000    .00000   -.024219723220751        0.      4503                
  0.666   2.052 -0.0000 -0.0026 -0.0006  0.0287    -213261.538              4504
    .00000    .00000    .00000    .00000    .00000    .00000                4505                
    15.286    11.076   911.086   998.108    91.643    63.611 0 0            4506                
        -.4308407496    .00982         .0159490021    .01359  0             4508                
KATH12M   NYALES20  2000+472 2019 07 18 19 22  31.0000000000                4601                
  -13380617.03807722    .03644 -1043403.4833426310    .02342 0      I       4602                
    .00015    .00000    .00000    .00000  -1.397372341873373        0.      4603                
  2.052   0.315 -0.0026  0.0002  0.0287  0.0005    -173099.736              4604
    .00000   -.02523    .00000    .00000    .00000    .00000                4605                
    11.076     4.300   998.108  1003.800    63.611    91.800 0 0            4606                
         .3136510231    .01585         .0032500758    .00696  0             4608                
KATH12M   ZELENCHK  2000+472 2019 07 18 19 22  31.0000000000                4701                
  -15951687.29916776    .02790 -1269242.2224113870    .05689 0      I       4702                
    .00034    .00000    .00000    .00000   -.195183375897530        0.      4703                
  2.052   0.648 -0.0026 -0.0005  0.0287 -0.0022     212231.293              4704
    .00000    .00000    .00000    .00000    .00000    .00000                4705                
    11.076    15.529   998.108   883.315    63.611    88.226 0 0            4706                
        3.4044892385    .01866         .0024551376    .02722  0             4708                
NYALES20  ZELENCHK  2000+472 2019 07 18 19 22  31.0000000000                4801                
   -2571073.26637716    .00453  -225838.2699627440    .00924 0      I       4802                
    .00210    .00000    .00000    .00000  -1.918369209086664        0.      4803                
  0.315   0.648  0.0002 -0.0005  0.0005 -0.0022     385331.030              4804
